indicator,date,value,iso_code,country_name
Food Inflation,2002-01-31,4.09,ABW,Aruba
Food Inflation,2002-02-28,4.09,ABW,Aruba
Food Inflation,2002-03-31,3.86,ABW,Aruba
Food Inflation,2002-04-30,3.85,ABW,Aruba
Food Inflation,2002-05-31,4.01,ABW,Aruba
Food Inflation,2002-06-30,3.26,ABW,Aruba
Food Inflation,2002-07-31,3.28,ABW,Aruba
Food Inflation,2002-08-31,3.01,ABW,Aruba
Food Inflation,2002-09-30,3.19,ABW,Aruba
Food Inflation,2002-10-31,3.1,ABW,Aruba
Food Inflation,2002-11-30,2.59,ABW,Aruba
Food Inflation,2002-12-31,2.57,ABW,Aruba
Food Inflation,2003-01-31,2.67,ABW,Aruba
Food Inflation,2003-02-28,2.43,ABW,Aruba
Food Inflation,2003-03-31,2.29,ABW,Aruba
Food Inflation,2003-04-30,2.13,ABW,Aruba
Food Inflation,2003-05-31,2.22,ABW,Aruba
Food Inflation,2003-06-30,2.46,ABW,Aruba
Food Inflation,2003-07-31,3.31,ABW,Aruba
Food Inflation,2003-08-31,3.3,ABW,Aruba
Food Inflation,2003-09-30,2.97,ABW,Aruba
Food Inflation,2003-10-31,2.75,ABW,Aruba
Food Inflation,2003-11-30,2.7,ABW,Aruba
Food Inflation,2003-12-31,2.36,ABW,Aruba
Food Inflation,2004-01-31,2.83,ABW,Aruba
Food Inflation,2004-02-29,3.09,ABW,Aruba
Food Inflation,2004-03-31,3.73,ABW,Aruba
Food Inflation,2004-04-30,3.73,ABW,Aruba
Food Inflation,2004-05-31,3.67,ABW,Aruba
Food Inflation,2004-06-30,3.79,ABW,Aruba
Food Inflation,2004-07-31,3.02,ABW,Aruba
Food Inflation,2004-08-31,2.93,ABW,Aruba
Food Inflation,2004-09-30,2.9,ABW,Aruba
Food Inflation,2004-10-31,3.44,ABW,Aruba
Food Inflation,2004-11-30,3.4,ABW,Aruba
Food Inflation,2004-12-31,3.48,ABW,Aruba
Food Inflation,2005-01-31,3.38,ABW,Aruba
Food Inflation,2005-02-28,3.7,ABW,Aruba
Food Inflation,2005-03-31,3.38,ABW,Aruba
Food Inflation,2005-04-30,3.18,ABW,Aruba
Food Inflation,2005-05-31,3.55,ABW,Aruba
Food Inflation,2005-06-30,3.13,ABW,Aruba
Food Inflation,2005-07-31,3.45,ABW,Aruba
Food Inflation,2005-08-31,3.53,ABW,Aruba
Food Inflation,2005-09-30,4.15,ABW,Aruba
Food Inflation,2005-10-31,4.34,ABW,Aruba
Food Inflation,2005-11-30,4.58,ABW,Aruba
Food Inflation,2005-12-31,4.57,ABW,Aruba
Food Inflation,2006-01-31,4.17,ABW,Aruba
Food Inflation,2006-02-28,3.51,ABW,Aruba
Food Inflation,2006-03-31,3.55,ABW,Aruba
Food Inflation,2006-04-30,3.61,ABW,Aruba
Food Inflation,2006-05-31,3.25,ABW,Aruba
Food Inflation,2006-06-30,3.94,ABW,Aruba
Food Inflation,2006-07-31,4.37,ABW,Aruba
Food Inflation,2006-08-31,4.92,ABW,Aruba
Food Inflation,2006-09-30,5.23,ABW,Aruba
Food Inflation,2006-10-31,8.4,ABW,Aruba
Food Inflation,2006-11-30,8.15,ABW,Aruba
Food Inflation,2006-12-31,8.74,ABW,Aruba
Food Inflation,2007-01-31,12.0,ABW,Aruba
Food Inflation,2007-02-28,13.34,ABW,Aruba
Food Inflation,2007-03-31,13.73,ABW,Aruba
Food Inflation,2007-04-30,13.77,ABW,Aruba
Food Inflation,2007-05-31,15.66,ABW,Aruba
Food Inflation,2007-06-30,15.79,ABW,Aruba
Food Inflation,2007-07-31,15.16,ABW,Aruba
Food Inflation,2007-08-31,15.07,ABW,Aruba
Food Inflation,2007-09-30,14.55,ABW,Aruba
Food Inflation,2007-10-31,11.08,ABW,Aruba
Food Inflation,2007-11-30,12.51,ABW,Aruba
Food Inflation,2007-12-31,11.69,ABW,Aruba
Food Inflation,2008-01-31,10.5,ABW,Aruba
