indicator,date,value,iso_code,country_name
Food Inflation,2002-06-30,2.29,BTN,Bhutan
Food Inflation,2002-12-31,1.94,BTN,Bhutan
Food Inflation,2003-06-30,1.42,BTN,Bhutan
Food Inflation,2003-12-31,1.5,BTN,Bhutan
Food Inflation,2004-06-30,1.3,BTN,Bhutan
Food Inflation,2004-09-30,2.9,BTN,Bhutan
Food Inflation,2004-12-31,2.76,BTN,Bhutan
Food Inflation,2005-03-31,5.99,BTN,Bhutan
Food Inflation,2005-06-30,6.23,BTN,Bhutan
Food Inflation,2005-09-30,5.64,BTN,Bhutan
Food Inflation,2005-12-31,4.99,BTN,Bhutan
Food Inflation,2006-03-31,2.13,BTN,Bhutan
Food Inflation,2006-06-30,6.7,BTN,Bhutan
Food Inflation,2006-09-30,5.8,BTN,Bhutan
Food Inflation,2006-12-31,5.21,BTN,Bhutan
Food Inflation,2007-03-31,5.44,BTN,Bhutan
Food Inflation,2007-06-30,9.51,BTN,Bhutan
Food Inflation,2007-09-30,8.43,BTN,Bhutan
Food Inflation,2007-12-31,8.86,BTN,Bhutan
Food Inflation,2008-03-31,11.01,BTN,Bhutan
Food Inflation,2008-06-30,12.33,BTN,Bhutan
Food Inflation,2008-09-30,12.55,BTN,Bhutan
Food Inflation,2008-12-31,11.81,BTN,Bhutan
Food Inflation,2009-03-31,8.84,BTN,Bhutan
Food Inflation,2009-06-30,6.67,BTN,Bhutan
Food Inflation,2009-09-30,9.88,BTN,Bhutan
Food Inflation,2009-12-31,10.68,BTN,Bhutan
Food Inflation,2010-03-31,12.33,BTN,Bhutan
Food Inflation,2010-06-30,6.9,BTN,Bhutan
Food Inflation,2010-09-30,6.63,BTN,Bhutan
Food Inflation,2010-12-31,9.53,BTN,Bhutan
Food Inflation,2011-03-31,10.53,BTN,Bhutan
Food Inflation,2011-06-30,10.56,BTN,Bhutan
Food Inflation,2011-09-30,10.72,BTN,Bhutan
Food Inflation,2011-12-31,8.96,BTN,Bhutan
Food Inflation,2012-03-31,11.4,BTN,Bhutan
Food Inflation,2012-06-30,18.72,BTN,Bhutan
Food Inflation,2012-09-30,13.87,BTN,Bhutan
Food Inflation,2012-12-31,11.8,BTN,Bhutan
Food Inflation,2013-03-31,8.6,BTN,Bhutan
Food Inflation,2013-06-30,2.79,BTN,Bhutan
Food Inflation,2013-09-30,9.23,BTN,Bhutan
Food Inflation,2013-12-31,14.47,BTN,Bhutan
Food Inflation,2014-01-31,13.95,BTN,Bhutan
Food Inflation,2014-02-28,13.04,BTN,Bhutan
Food Inflation,2014-03-31,12.9,BTN,Bhutan
Food Inflation,2014-04-30,12.12,BTN,Bhutan
Food Inflation,2014-05-31,12.87,BTN,Bhutan
Food Inflation,2014-06-30,12.07,BTN,Bhutan
Food Inflation,2014-07-31,11.08,BTN,Bhutan
Food Inflation,2014-08-31,9.81,BTN,Bhutan
Food Inflation,2014-09-30,9.29,BTN,Bhutan
Food Inflation,2014-10-31,6.76,BTN,Bhutan
Food Inflation,2014-11-30,6.26,BTN,Bhutan
Food Inflation,2014-12-31,5.27,BTN,Bhutan
Food Inflation,2015-01-31,5.08,BTN,Bhutan
Food Inflation,2015-02-28,4.89,BTN,Bhutan
Food Inflation,2015-03-31,4.88,BTN,Bhutan
Food Inflation,2015-04-30,3.95,BTN,Bhutan
Food Inflation,2015-05-31,2.93,BTN,Bhutan
Food Inflation,2015-06-30,2.14,BTN,Bhutan
Food Inflation,2015-07-31,1.98,BTN,Bhutan
Food Inflation,2015-08-31,2.34,BTN,Bhutan
Food Inflation,2015-09-30,2.38,BTN,Bhutan
Food Inflation,2015-10-31,2.89,BTN,Bhutan
Food Inflation,2015-11-30,2.66,BTN,Bhutan
Food Inflation,2015-12-31,2.76,BTN,Bhutan
Food Inflation,2016-01-31,3.16,BTN,Bhutan
Food Inflation,2016-02-29,2.78,BTN,Bhutan
Food Inflation,2016-03-31,2.78,BTN,Bhutan
Food Inflation,2016-04-30,2.84,BTN,Bhutan
Food Inflation,2016-05-31,3.42,BTN,Bhutan
Food Inflation,2016-06-30,4.36,BTN,Bhutan
Food Inflation,2016-07-31,4.05,BTN,Bhutan
Food Inflation,2016-08-31,3.81,BTN,Bhutan
Food Inflation,2016-09-30,3.77,BTN,Bhutan
Food Inflation,2016-10-31,3.78,BTN,Bhutan
Food Inflation,2016-11-30,5.49,BTN,Bhutan
Food Inflation,2016-12-31,5.91,BTN,Bhutan
Food Inflation,2017-01-31,6.35,BTN,Bhutan
Food Inflation,2017-02-28,7.82,BTN,Bhutan
Food Inflation,2017-03-31,6.3,BTN,Bhutan
Food Inflation,2017-04-30,8.38,BTN,Bhutan
Food Inflation,2017-05-31,8.08,BTN,Bhutan
Food Inflation,2017-06-30,6.53,BTN,Bhutan
Food Inflation,2017-07-31,7.24,BTN,Bhutan
Food Inflation,2017-08-31,7.32,BTN,Bhutan
Food Inflation,2017-09-30,6.82,BTN,Bhutan
Food Inflation,2017-10-31,6.96,BTN,Bhutan
Food Inflation,2017-11-30,6.36,BTN,Bhutan
Food Inflation,2017-12-31,6.97,BTN,Bhutan
Food Inflation,2018-01-31,6.7,BTN,Bhutan
Food Inflation,2018-02-28,5.94,BTN,Bhutan
Food Inflation,2018-03-31,7.83,BTN,Bhutan
Food Inflation,2018-04-30,5.5,BTN,Bhutan
Food Inflation,2018-05-31,5.52,BTN,Bhutan
Food Inflation,2018-06-30,5.1,BTN,Bhutan
Food Inflation,2018-07-31,4.0,BTN,Bhutan
Food Inflation,2018-08-31,3.49,BTN,Bhutan
Food Inflation,2018-09-30,3.86,BTN,Bhutan
Food Inflation,2018-10-31,4.0,BTN,Bhutan
Food Inflation,2018-11-30,3.58,BTN,Bhutan
Food Inflation,2018-12-31,3.87,BTN,Bhutan
Food Inflation,2019-01-31,3.58,BTN,Bhutan
Food Inflation,2019-02-28,3.1,BTN,Bhutan
Food Inflation,2019-03-31,2.85,BTN,Bhutan
Food Inflation,2019-04-30,3.43,BTN,Bhutan
Food Inflation,2019-05-31,2.82,BTN,Bhutan
Food Inflation,2019-06-30,3.13,BTN,Bhutan
Food Inflation,2019-07-31,3.61,BTN,Bhutan
Food Inflation,2019-08-31,3.86,BTN,Bhutan
Food Inflation,2019-09-30,3.49,BTN,Bhutan
Food Inflation,2019-10-31,3.9,BTN,Bhutan
Food Inflation,2019-11-30,4.08,BTN,Bhutan
Food Inflation,2019-12-31,3.41,BTN,Bhutan
Food Inflation,2020-01-31,3.9,BTN,Bhutan
Food Inflation,2020-02-29,4.38,BTN,Bhutan
Food Inflation,2020-03-31,6.53,BTN,Bhutan
Food Inflation,2020-04-30,9.24,BTN,Bhutan
Food Inflation,2020-05-31,8.76,BTN,Bhutan
Food Inflation,2020-06-30,8.94,BTN,Bhutan
Food Inflation,2020-07-31,14.91,BTN,Bhutan
Food Inflation,2020-08-31,14.68,BTN,Bhutan
Food Inflation,2020-09-30,16.42,BTN,Bhutan
Food Inflation,2020-10-31,15.45,BTN,Bhutan
Food Inflation,2020-11-30,14.77,BTN,Bhutan
Food Inflation,2020-12-31,14.82,BTN,Bhutan
Food Inflation,2021-01-31,16.89,BTN,Bhutan
Food Inflation,2021-02-28,16.98,BTN,Bhutan
Food Inflation,2021-03-31,15.25,BTN,Bhutan
Food Inflation,2021-04-30,13.16,BTN,Bhutan
Food Inflation,2021-05-31,12.7,BTN,Bhutan
Food Inflation,2021-06-30,10.14,BTN,Bhutan
Food Inflation,2021-07-31,4.4,BTN,Bhutan
Food Inflation,2021-08-31,4.25,BTN,Bhutan
Food Inflation,2021-09-30,3.18,BTN,Bhutan
Food Inflation,2021-10-31,4.96,BTN,Bhutan
Food Inflation,2021-11-30,6.37,BTN,Bhutan
Food Inflation,2021-12-31,6.92,BTN,Bhutan
Food Inflation,2022-01-31,5.27,BTN,Bhutan
Food Inflation,2022-02-28,4.1,BTN,Bhutan
Food Inflation,2022-03-31,4.01,BTN,Bhutan
Inflation Rate,2001-06-30,3.6,BTN,Bhutan
Inflation Rate,2001-12-31,3.2,BTN,Bhutan
Inflation Rate,2002-06-30,2.7,BTN,Bhutan
Inflation Rate,2002-12-31,2.3,BTN,Bhutan
Inflation Rate,2003-06-30,1.8,BTN,Bhutan
Inflation Rate,2003-12-31,1.3,BTN,Bhutan
Inflation Rate,2004-03-31,0.0,BTN,Bhutan
Inflation Rate,2004-06-30,4.84,BTN,Bhutan
Inflation Rate,2004-09-30,4.55,BTN,Bhutan
Inflation Rate,2004-12-31,3.91,BTN,Bhutan
Inflation Rate,2005-03-31,5.37,BTN,Bhutan
Inflation Rate,2005-06-30,5.46,BTN,Bhutan
Inflation Rate,2005-09-30,5.49,BTN,Bhutan
Inflation Rate,2005-12-31,4.93,BTN,Bhutan
Inflation Rate,2006-03-31,3.13,BTN,Bhutan
Inflation Rate,2006-06-30,6.17,BTN,Bhutan
Inflation Rate,2006-09-30,5.39,BTN,Bhutan
Inflation Rate,2006-12-31,5.3,BTN,Bhutan
Inflation Rate,2007-03-31,4.34,BTN,Bhutan
Inflation Rate,2007-06-30,5.94,BTN,Bhutan
Inflation Rate,2007-09-30,5.54,BTN,Bhutan
Inflation Rate,2007-12-31,4.78,BTN,Bhutan
Inflation Rate,2008-03-31,6.03,BTN,Bhutan
Inflation Rate,2008-06-30,8.85,BTN,Bhutan
Inflation Rate,2008-09-30,9.3,BTN,Bhutan
Inflation Rate,2008-12-31,9.04,BTN,Bhutan
Inflation Rate,2009-03-31,7.21,BTN,Bhutan
Inflation Rate,2009-06-30,2.96,BTN,Bhutan
Inflation Rate,2009-09-30,3.42,BTN,Bhutan
Inflation Rate,2009-12-31,4.05,BTN,Bhutan
Inflation Rate,2010-03-31,5.7,BTN,Bhutan
Inflation Rate,2010-06-30,6.14,BTN,Bhutan
Inflation Rate,2010-09-30,7.15,BTN,Bhutan
Inflation Rate,2010-12-31,9.1,BTN,Bhutan
Inflation Rate,2011-03-31,9.64,BTN,Bhutan
Inflation Rate,2011-06-30,8.33,BTN,Bhutan
Inflation Rate,2011-09-30,9.02,BTN,Bhutan
Inflation Rate,2011-12-31,8.45,BTN,Bhutan
Inflation Rate,2012-03-31,9.46,BTN,Bhutan
Inflation Rate,2012-06-30,13.53,BTN,Bhutan
Inflation Rate,2012-09-30,11.17,BTN,Bhutan
Inflation Rate,2012-12-31,9.54,BTN,Bhutan
Inflation Rate,2013-03-31,9.25,BTN,Bhutan
Inflation Rate,2013-06-30,5.5,BTN,Bhutan
Inflation Rate,2013-09-30,9.05,BTN,Bhutan
Inflation Rate,2013-12-31,11.32,BTN,Bhutan
Inflation Rate,2014-01-31,10.03,BTN,Bhutan
Inflation Rate,2014-02-28,9.44,BTN,Bhutan
Inflation Rate,2014-03-31,8.98,BTN,Bhutan
Inflation Rate,2014-04-30,8.61,BTN,Bhutan
Inflation Rate,2014-05-31,8.98,BTN,Bhutan
Inflation Rate,2014-06-30,8.09,BTN,Bhutan
Inflation Rate,2014-07-31,8.07,BTN,Bhutan
Inflation Rate,2014-08-31,8.77,BTN,Bhutan
Inflation Rate,2014-09-30,8.42,BTN,Bhutan
Inflation Rate,2014-10-31,7.09,BTN,Bhutan
Inflation Rate,2014-11-30,6.68,BTN,Bhutan
Inflation Rate,2014-12-31,6.44,BTN,Bhutan
Inflation Rate,2015-01-31,6.32,BTN,Bhutan
Inflation Rate,2015-02-28,6.37,BTN,Bhutan
Inflation Rate,2015-03-31,6.32,BTN,Bhutan
Inflation Rate,2015-04-30,5.73,BTN,Bhutan
Inflation Rate,2015-05-31,5.06,BTN,Bhutan
Inflation Rate,2015-06-30,4.77,BTN,Bhutan
Inflation Rate,2015-07-31,3.47,BTN,Bhutan
Inflation Rate,2015-08-31,3.12,BTN,Bhutan
Inflation Rate,2015-09-30,3.15,BTN,Bhutan
Inflation Rate,2015-10-31,3.57,BTN,Bhutan
Inflation Rate,2015-11-30,3.6,BTN,Bhutan
Inflation Rate,2015-12-31,3.45,BTN,Bhutan
Inflation Rate,2016-01-31,3.16,BTN,Bhutan
Inflation Rate,2016-02-29,2.98,BTN,Bhutan
Inflation Rate,2016-03-31,2.95,BTN,Bhutan
Inflation Rate,2016-04-30,3.07,BTN,Bhutan
Inflation Rate,2016-05-31,3.3,BTN,Bhutan
Inflation Rate,2016-06-30,3.56,BTN,Bhutan
Inflation Rate,2016-07-31,2.87,BTN,Bhutan
Inflation Rate,2016-08-31,2.85,BTN,Bhutan
Inflation Rate,2016-09-30,2.74,BTN,Bhutan
Inflation Rate,2016-10-31,2.62,BTN,Bhutan
Inflation Rate,2016-11-30,3.92,BTN,Bhutan
Inflation Rate,2016-12-31,4.6,BTN,Bhutan
Inflation Rate,2017-01-31,5.1,BTN,Bhutan
Inflation Rate,2017-02-28,5.64,BTN,Bhutan
Inflation Rate,2017-03-31,5.08,BTN,Bhutan
Inflation Rate,2017-04-30,5.77,BTN,Bhutan
Inflation Rate,2017-05-31,5.65,BTN,Bhutan
Inflation Rate,2017-06-30,4.94,BTN,Bhutan
Inflation Rate,2017-07-31,5.28,BTN,Bhutan
Inflation Rate,2017-08-31,5.34,BTN,Bhutan
Inflation Rate,2017-09-30,4.91,BTN,Bhutan
Inflation Rate,2017-10-31,4.86,BTN,Bhutan
Inflation Rate,2017-11-30,3.71,BTN,Bhutan
Inflation Rate,2017-12-31,3.3,BTN,Bhutan
Inflation Rate,2018-01-31,2.98,BTN,Bhutan
Inflation Rate,2018-02-28,2.61,BTN,Bhutan
Inflation Rate,2018-03-31,3.23,BTN,Bhutan
Inflation Rate,2018-04-30,2.55,BTN,Bhutan
Inflation Rate,2018-05-31,2.62,BTN,Bhutan
Inflation Rate,2018-06-30,2.55,BTN,Bhutan
Inflation Rate,2018-07-31,2.01,BTN,Bhutan
Inflation Rate,2018-08-31,2.13,BTN,Bhutan
Inflation Rate,2018-09-30,2.71,BTN,Bhutan
Inflation Rate,2018-10-31,3.08,BTN,Bhutan
Inflation Rate,2018-11-30,3.09,BTN,Bhutan
Inflation Rate,2018-12-31,3.13,BTN,Bhutan
Inflation Rate,2019-01-31,3.12,BTN,Bhutan
Inflation Rate,2019-02-28,3.01,BTN,Bhutan
Inflation Rate,2019-03-31,2.98,BTN,Bhutan
Inflation Rate,2019-04-30,3.13,BTN,Bhutan
Inflation Rate,2019-05-31,2.72,BTN,Bhutan
Inflation Rate,2019-06-30,2.74,BTN,Bhutan
Inflation Rate,2019-07-31,3.09,BTN,Bhutan
Inflation Rate,2019-08-31,2.79,BTN,Bhutan
Inflation Rate,2019-09-30,2.33,BTN,Bhutan
Inflation Rate,2019-10-31,2.18,BTN,Bhutan
Inflation Rate,2019-11-30,2.34,BTN,Bhutan
Inflation Rate,2019-12-31,2.32,BTN,Bhutan
Inflation Rate,2020-01-31,2.44,BTN,Bhutan
Inflation Rate,2020-02-29,2.46,BTN,Bhutan
Inflation Rate,2020-03-31,3.26,BTN,Bhutan
Inflation Rate,2020-04-30,4.55,BTN,Bhutan
Inflation Rate,2020-05-31,4.17,BTN,Bhutan
Inflation Rate,2020-06-30,4.54,BTN,Bhutan
Inflation Rate,2020-07-31,7.56,BTN,Bhutan
Inflation Rate,2020-08-31,7.44,BTN,Bhutan
Inflation Rate,2020-09-30,8.02,BTN,Bhutan
Inflation Rate,2020-10-31,7.75,BTN,Bhutan
Inflation Rate,2020-11-30,7.52,BTN,Bhutan
Inflation Rate,2020-12-31,7.72,BTN,Bhutan
Inflation Rate,2021-01-31,8.97,BTN,Bhutan
Inflation Rate,2021-02-28,9.54,BTN,Bhutan
Inflation Rate,2021-03-31,9.11,BTN,Bhutan
Inflation Rate,2021-04-30,8.78,BTN,Bhutan
Inflation Rate,2021-05-31,8.69,BTN,Bhutan
Inflation Rate,2021-06-30,7.42,BTN,Bhutan
Inflation Rate,2021-07-31,5.15,BTN,Bhutan
Inflation Rate,2021-08-31,5.3,BTN,Bhutan
Inflation Rate,2021-09-30,4.97,BTN,Bhutan
Inflation Rate,2021-10-31,6.47,BTN,Bhutan
Inflation Rate,2021-11-30,7.26,BTN,Bhutan
Inflation Rate,2021-12-31,6.87,BTN,Bhutan
Inflation Rate,2022-01-31,6.03,BTN,Bhutan
Inflation Rate,2022-02-28,5.32,BTN,Bhutan
Inflation Rate,2022-03-31,5.57,BTN,Bhutan
