indicator,date,value,iso_code,country_name
Food Inflation,2003-01-31,18.72,LSO,Lesotho
Food Inflation,2003-02-28,10.27,LSO,Lesotho
Food Inflation,2003-03-31,7.79,LSO,Lesotho
Food Inflation,2003-04-30,6.78,LSO,Lesotho
Food Inflation,2003-05-31,5.83,LSO,Lesotho
Food Inflation,2003-06-30,2.78,LSO,Lesotho
Food Inflation,2003-07-31,2.22,LSO,Lesotho
Food Inflation,2003-08-31,2.12,LSO,Lesotho
Food Inflation,2003-09-30,1.69,LSO,Lesotho
Food Inflation,2003-10-31,0.88,LSO,Lesotho
Food Inflation,2003-11-30,0.76,LSO,Lesotho
Food Inflation,2003-12-31,0.67,LSO,Lesotho
Food Inflation,2004-01-31,1.57,LSO,Lesotho
Food Inflation,2004-02-29,2.15,LSO,Lesotho
Food Inflation,2004-03-31,1.93,LSO,Lesotho
Food Inflation,2004-04-30,2.32,LSO,Lesotho
Food Inflation,2004-05-31,3.1,LSO,Lesotho
Food Inflation,2004-06-30,5.41,LSO,Lesotho
Food Inflation,2004-07-31,5.44,LSO,Lesotho
Food Inflation,2004-08-31,5.44,LSO,Lesotho
Food Inflation,2004-09-30,5.35,LSO,Lesotho
Food Inflation,2004-10-31,5.73,LSO,Lesotho
Food Inflation,2004-11-30,5.57,LSO,Lesotho
Food Inflation,2004-12-31,5.47,LSO,Lesotho
Food Inflation,2005-01-31,4.36,LSO,Lesotho
Food Inflation,2005-02-28,3.72,LSO,Lesotho
Food Inflation,2005-03-31,3.23,LSO,Lesotho
Food Inflation,2005-04-30,2.46,LSO,Lesotho
Food Inflation,2005-05-31,2.01,LSO,Lesotho
Food Inflation,2005-06-30,1.68,LSO,Lesotho
Food Inflation,2005-07-31,1.88,LSO,Lesotho
Food Inflation,2005-08-31,1.82,LSO,Lesotho
Food Inflation,2005-09-30,2.44,LSO,Lesotho
Food Inflation,2005-10-31,2.46,LSO,Lesotho
Food Inflation,2005-11-30,2.52,LSO,Lesotho
Food Inflation,2005-12-31,3.17,LSO,Lesotho
Food Inflation,2006-01-31,4.15,LSO,Lesotho
Food Inflation,2006-02-28,5.23,LSO,Lesotho
Food Inflation,2006-03-31,5.61,LSO,Lesotho
Food Inflation,2006-04-30,5.91,LSO,Lesotho
Food Inflation,2006-05-31,9.37,LSO,Lesotho
Food Inflation,2006-06-30,10.02,LSO,Lesotho
Food Inflation,2006-07-31,9.96,LSO,Lesotho
Food Inflation,2006-08-31,11.38,LSO,Lesotho
Food Inflation,2006-09-30,11.26,LSO,Lesotho
Food Inflation,2006-10-31,11.65,LSO,Lesotho
Food Inflation,2006-11-30,11.85,LSO,Lesotho
Food Inflation,2006-12-31,11.19,LSO,Lesotho
Food Inflation,2007-01-31,10.58,LSO,Lesotho
Food Inflation,2007-02-28,9.93,LSO,Lesotho
Food Inflation,2007-03-31,10.82,LSO,Lesotho
Food Inflation,2007-04-30,15.18,LSO,Lesotho
Food Inflation,2007-05-31,13.33,LSO,Lesotho
Food Inflation,2007-06-30,13.91,LSO,Lesotho
Food Inflation,2007-07-31,14.81,LSO,Lesotho
Food Inflation,2007-08-31,14.77,LSO,Lesotho
Food Inflation,2007-09-30,15.13,LSO,Lesotho
Food Inflation,2007-10-31,15.6,LSO,Lesotho
Food Inflation,2007-11-30,16.51,LSO,Lesotho
Food Inflation,2007-12-31,18.43,LSO,Lesotho
Food Inflation,2008-01-31,18.2,LSO,Lesotho
Food Inflation,2008-02-29,18.26,LSO,Lesotho
Food Inflation,2008-03-31,17.77,LSO,Lesotho
Food Inflation,2008-04-30,14.33,LSO,Lesotho
Food Inflation,2008-05-31,13.79,LSO,Lesotho
Food Inflation,2008-06-30,13.64,LSO,Lesotho
Food Inflation,2008-07-31,14.79,LSO,Lesotho
Food Inflation,2008-08-31,15.07,LSO,Lesotho
Food Inflation,2008-09-30,16.52,LSO,Lesotho
Food Inflation,2008-10-31,16.34,LSO,Lesotho
Food Inflation,2008-11-30,15.68,LSO,Lesotho
Food Inflation,2008-12-31,14.3,LSO,Lesotho
Food Inflation,2009-01-31,14.22,LSO,Lesotho
Food Inflation,2009-02-28,13.49,LSO,Lesotho
Food Inflation,2009-03-31,12.96,LSO,Lesotho
Food Inflation,2009-04-30,12.25,LSO,Lesotho
Food Inflation,2009-05-31,11.36,LSO,Lesotho
Food Inflation,2009-06-30,10.33,LSO,Lesotho
Food Inflation,2009-07-31,8.32,LSO,Lesotho
Food Inflation,2009-08-31,6.45,LSO,Lesotho
Food Inflation,2009-09-30,4.48,LSO,Lesotho
Food Inflation,2009-10-31,3.79,LSO,Lesotho
Food Inflation,2009-11-30,3.43,LSO,Lesotho
Food Inflation,2009-12-31,3.14,LSO,Lesotho
Food Inflation,2010-01-31,3.16,LSO,Lesotho
Food Inflation,2010-02-28,3.41,LSO,Lesotho
Food Inflation,2010-03-31,3.1,LSO,Lesotho
Food Inflation,2010-04-30,2.9,LSO,Lesotho
Food Inflation,2010-05-31,3.0,LSO,Lesotho
Food Inflation,2010-06-30,2.6,LSO,Lesotho
Food Inflation,2010-07-31,3.1,LSO,Lesotho
Food Inflation,2010-08-31,3.2,LSO,Lesotho
Food Inflation,2010-09-30,3.6,LSO,Lesotho
Food Inflation,2010-10-31,3.5,LSO,Lesotho
Food Inflation,2010-11-30,3.6,LSO,Lesotho
Food Inflation,2010-12-31,3.8,LSO,Lesotho
Food Inflation,2011-01-31,4.4,LSO,Lesotho
Food Inflation,2011-02-28,4.6,LSO,Lesotho
Food Inflation,2011-03-31,4.8,LSO,Lesotho
Food Inflation,2011-04-30,5.6,LSO,Lesotho
Food Inflation,2011-05-31,5.6,LSO,Lesotho
Food Inflation,2011-06-30,6.8,LSO,Lesotho
Food Inflation,2011-07-31,7.1,LSO,Lesotho
Food Inflation,2011-08-31,7.9,LSO,Lesotho
Food Inflation,2011-09-30,8.0,LSO,Lesotho
Food Inflation,2011-10-31,8.9,LSO,Lesotho
Food Inflation,2011-11-30,9.6,LSO,Lesotho
Food Inflation,2011-12-31,10.4,LSO,Lesotho
Food Inflation,2012-01-31,10.3,LSO,Lesotho
Food Inflation,2012-02-29,10.5,LSO,Lesotho
