indicator,date,value,iso_code,country_name
Food Inflation,2011-07-31,3.88,MLT,Malta
Food Inflation,2011-08-31,3.83,MLT,Malta
Food Inflation,2011-09-30,2.77,MLT,Malta
Food Inflation,2011-10-31,5.62,MLT,Malta
Food Inflation,2011-11-30,5.62,MLT,Malta
Food Inflation,2011-12-31,5.37,MLT,Malta
Food Inflation,2012-01-31,4.73,MLT,Malta
Food Inflation,2012-02-29,6.8,MLT,Malta
Food Inflation,2012-03-31,6.48,MLT,Malta
Food Inflation,2012-04-30,5.6,MLT,Malta
Food Inflation,2012-05-31,5.28,MLT,Malta
Food Inflation,2012-06-30,5.37,MLT,Malta
Food Inflation,2012-07-31,5.72,MLT,Malta
Food Inflation,2012-08-31,4.68,MLT,Malta
Food Inflation,2012-09-30,6.02,MLT,Malta
Food Inflation,2012-10-31,5.36,MLT,Malta
Food Inflation,2012-11-30,5.88,MLT,Malta
Food Inflation,2012-12-31,6.11,MLT,Malta
Food Inflation,2013-01-31,5.4,MLT,Malta
Food Inflation,2013-02-28,4.62,MLT,Malta
Food Inflation,2013-03-31,4.62,MLT,Malta
Food Inflation,2013-04-30,5.82,MLT,Malta
Food Inflation,2013-05-31,5.07,MLT,Malta
Food Inflation,2013-06-30,5.76,MLT,Malta
Food Inflation,2013-07-31,6.49,MLT,Malta
Food Inflation,2013-08-31,6.35,MLT,Malta
Food Inflation,2013-09-30,4.45,MLT,Malta
Food Inflation,2013-10-31,1.95,MLT,Malta
Food Inflation,2013-11-30,0.87,MLT,Malta
Food Inflation,2013-12-31,1.85,MLT,Malta
Food Inflation,2014-01-31,0.69,MLT,Malta
Food Inflation,2014-02-28,0.16,MLT,Malta
Food Inflation,2014-03-31,0.56,MLT,Malta
Food Inflation,2014-04-30,0.41,MLT,Malta
Food Inflation,2014-05-31,0.73,MLT,Malta
Food Inflation,2014-06-30,-0.31,MLT,Malta
Food Inflation,2014-07-31,-0.19,MLT,Malta
Food Inflation,2014-08-31,-0.3,MLT,Malta
Food Inflation,2014-09-30,-0.4,MLT,Malta
Food Inflation,2014-10-31,0.1,MLT,Malta
Food Inflation,2014-11-30,1.37,MLT,Malta
Food Inflation,2014-12-31,-0.14,MLT,Malta
Food Inflation,2015-01-31,2.2,MLT,Malta
Food Inflation,2015-02-28,2.4,MLT,Malta
Food Inflation,2015-03-31,2.5,MLT,Malta
Food Inflation,2015-04-30,2.5,MLT,Malta
Food Inflation,2015-05-31,1.7,MLT,Malta
Food Inflation,2015-06-30,2.3,MLT,Malta
Food Inflation,2015-07-31,2.4,MLT,Malta
Food Inflation,2015-08-31,2.4,MLT,Malta
Food Inflation,2015-09-30,3.0,MLT,Malta
Food Inflation,2015-10-31,3.0,MLT,Malta
Food Inflation,2015-11-30,2.1,MLT,Malta
Food Inflation,2015-12-31,2.6,MLT,Malta
Food Inflation,2016-01-31,1.0,MLT,Malta
Food Inflation,2016-02-29,0.5,MLT,Malta
Food Inflation,2016-03-31,0.9,MLT,Malta
Food Inflation,2016-04-30,1.3,MLT,Malta
Food Inflation,2016-05-31,2.2,MLT,Malta
Food Inflation,2016-06-30,2.0,MLT,Malta
Food Inflation,2016-07-31,2.1,MLT,Malta
Food Inflation,2016-08-31,2.6,MLT,Malta
Food Inflation,2016-09-30,2.4,MLT,Malta
Food Inflation,2016-10-31,2.2,MLT,Malta
Food Inflation,2016-11-30,2.5,MLT,Malta
Food Inflation,2016-12-31,3.5,MLT,Malta
Food Inflation,2017-01-31,5.2,MLT,Malta
Food Inflation,2017-02-28,4.4,MLT,Malta
Food Inflation,2017-03-31,3.7,MLT,Malta
Food Inflation,2017-04-30,2.9,MLT,Malta
Food Inflation,2017-05-31,1.9,MLT,Malta
Food Inflation,2017-06-30,2.1,MLT,Malta
Food Inflation,2017-07-31,2.2,MLT,Malta
Food Inflation,2017-08-31,1.7,MLT,Malta
Food Inflation,2017-09-30,1.8,MLT,Malta
Food Inflation,2017-10-31,2.3,MLT,Malta
Food Inflation,2017-11-30,2.2,MLT,Malta
Food Inflation,2017-12-31,1.0,MLT,Malta
Food Inflation,2018-01-31,0.4,MLT,Malta
Food Inflation,2018-02-28,0.7,MLT,Malta
Food Inflation,2018-03-31,0.9,MLT,Malta
Food Inflation,2018-04-30,1.2,MLT,Malta
Food Inflation,2018-05-31,1.6,MLT,Malta
Food Inflation,2018-06-30,1.9,MLT,Malta
Food Inflation,2018-07-31,2.2,MLT,Malta
Food Inflation,2018-08-31,2.4,MLT,Malta
Food Inflation,2018-09-30,3.3,MLT,Malta
Food Inflation,2018-10-31,4.0,MLT,Malta
Food Inflation,2018-11-30,3.5,MLT,Malta
Food Inflation,2018-12-31,3.6,MLT,Malta
Food Inflation,2019-01-31,3.3,MLT,Malta
Food Inflation,2019-02-28,3.8,MLT,Malta
Food Inflation,2019-03-31,3.5,MLT,Malta
Food Inflation,2019-04-30,3.8,MLT,Malta
Food Inflation,2019-05-31,4.3,MLT,Malta
Food Inflation,2019-06-30,3.7,MLT,Malta
Food Inflation,2019-07-31,3.2,MLT,Malta
Food Inflation,2019-08-31,3.6,MLT,Malta
Food Inflation,2019-09-30,3.0,MLT,Malta
