date,value,value_high,value_low,iso_code,country_name
2022-02-28,4570536,4570536,4570536,AGO,Angola
2022-03-01,4551324,4551324,4551324,AGO,Angola
2022-03-02,4607291,4607291,4607291,AGO,Angola
2022-03-03,4581021,4581021,4581021,AGO,Angola
2022-03-04,4584878,4584878,4584878,AGO,Angola
2022-03-05,4640339,4640339,4640339,AGO,Angola
2022-03-06,4657824,4657824,4657824,AGO,Angola
2022-03-07,4632181,4632181,4632181,AGO,Angola
2022-03-08,4674645,4674645,4674645,AGO,Angola
2022-03-09,4643553,4643553,4643553,AGO,Angola
2022-03-10,4709613,4709613,4709613,AGO,Angola
2022-03-11,4668295,4668295,4668295,AGO,Angola
2022-03-12,4669024,4669024,4669024,AGO,Angola
2022-03-13,4894794,4894794,4894794,AGO,Angola
2022-03-14,4944111,4944111,4944111,AGO,Angola
2022-03-15,4980979,4980979,4980979,AGO,Angola
2022-03-16,5026893,5026893,5026893,AGO,Angola
2022-03-17,5133110,5133110,5133110,AGO,Angola
2022-03-18,5142525,5142525,5142525,AGO,Angola
2022-03-19,5247578,5247578,5247578,AGO,Angola
2022-03-20,5226036,5226036,5226036,AGO,Angola
2022-03-21,5262845,5262845,5262845,AGO,Angola
2022-03-22,5325769,5325769,5325769,AGO,Angola
2022-03-23,5294995,5294995,5294995,AGO,Angola
2022-03-24,5297326,5297326,5297326,AGO,Angola
2022-03-25,5319274,5319274,5319274,AGO,Angola
2022-03-26,5260488,5260488,5260488,AGO,Angola
2022-03-27,5177537,5177537,5177537,AGO,Angola
2022-03-28,5243836,5243836,5243836,AGO,Angola
2022-03-29,5229254,5229254,5229254,AGO,Angola
2022-03-30,5211891,5211891,5211891,AGO,Angola
2022-03-31,5238117,5238117,5238117,AGO,Angola
2022-04-01,5305490,5305490,5305490,AGO,Angola
2022-04-02,5271966,5271966,5271966,AGO,Angola
2022-04-03,5343878,5343878,5343878,AGO,Angola
2022-04-04,5382942,5382942,5382942,AGO,Angola
2022-04-05,5371703,5371703,5371703,AGO,Angola
2022-04-06,5329788,5329788,5329788,AGO,Angola
2022-04-07,5265075,5265075,5265075,AGO,Angola
2022-04-08,5242135,5242135,5242135,AGO,Angola
2022-04-09,5266571,5266571,5266571,AGO,Angola
2022-04-10,5328836,5328836,5328836,AGO,Angola
2022-04-11,5135469,5135469,5135469,AGO,Angola
2022-04-12,5074884,5074884,5074884,AGO,Angola
2022-04-13,5082989,5082989,5082989,AGO,Angola
2022-04-14,5093685,5093685,5093685,AGO,Angola
2022-04-15,5094267,5094267,5094267,AGO,Angola
2022-04-16,5167878,5167878,5167878,AGO,Angola
2022-04-17,5164513,5164513,5164513,AGO,Angola
2022-04-18,5173558,5173558,5173558,AGO,Angola
2022-04-19,5127819,5127819,5127819,AGO,Angola
2022-04-20,5184503,5184503,5184503,AGO,Angola
2022-04-21,5098331,5098331,5098331,AGO,Angola
2022-04-22,5016611,5016611,5016611,AGO,Angola
2022-04-23,4983685,4983685,4983685,AGO,Angola
2022-04-24,5039076,5039076,5039076,AGO,Angola
2022-04-25,5052756,5052756,5052756,AGO,Angola
2022-04-26,5076845,5076845,5076845,AGO,Angola
2022-04-27,4988635,4988635,4988635,AGO,Angola
2022-04-28,5000119,5000119,5000119,AGO,Angola
2022-04-29,4993032,4993032,4993032,AGO,Angola
2022-04-30,5022154,5022154,5022154,AGO,Angola
2022-05-01,4935193,4935193,4935193,AGO,Angola
2022-05-02,4886896,4886896,4886896,AGO,Angola
2022-05-03,4893746,4893746,4893746,AGO,Angola
2022-05-04,4882318,4882318,4882318,AGO,Angola
2022-05-05,4853835,4853835,4853835,AGO,Angola
2022-05-06,4785811,4785811,4785811,AGO,Angola
2022-05-07,4852022,4852022,4852022,AGO,Angola
2022-05-08,4762004,4762004,4762004,AGO,Angola
2022-05-09,4731747,4731747,4731747,AGO,Angola
2022-05-10,4735582,4735582,4735582,AGO,Angola
2022-05-11,4664892,4664892,4664892,AGO,Angola
2022-05-12,4705480,4705480,4705480,AGO,Angola
2022-05-13,4745703,4745703,4745703,AGO,Angola
2022-05-14,4725445,4725445,4725445,AGO,Angola
2022-05-15,4611114,4611114,4611114,AGO,Angola
2022-05-16,4608447,4608447,4608447,AGO,Angola
2022-05-17,4579227,4579227,4579227,AGO,Angola
2022-05-18,4577363,4577363,4577363,AGO,Angola
2022-05-19,4600786,4600786,4600786,AGO,Angola
2022-05-20,4626502,4626502,4626502,AGO,Angola
2022-05-21,4635873,4635873,4635873,AGO,Angola
2022-05-22,4654461,4654461,4654461,AGO,Angola
2022-05-23,4643471,4643471,4643471,AGO,Angola
2022-05-24,4632476,4632476,4632476,AGO,Angola
2022-05-25,4603077,4603077,4603077,AGO,Angola
2022-05-26,4589584,4589584,4589584,AGO,Angola
2022-05-27,4583738,4583738,4583738,AGO,Angola
2022-05-28,4666569,4666569,4666569,AGO,Angola
2022-05-29,4624881,4624881,4624881,AGO,Angola
2022-05-30,4624564,4624564,4624564,AGO,Angola
2022-05-31,4572563,4572563,4572563,AGO,Angola
2022-06-01,4584299,4584299,4584299,AGO,Angola
2022-06-02,4597095,4597095,4597095,AGO,Angola
