date,value,value_high,value_low,iso_code,country_name
2022-02-28,368832,470028,297253,ARM,Armenia
2022-03-01,529281,653809,441393,ARM,Armenia
2022-03-02,529281,653809,441393,ARM,Armenia
2022-03-03,529281,653809,441393,ARM,Armenia
2022-03-04,547665,664836,457723,ARM,Armenia
2022-03-05,547930,666012,454641,ARM,Armenia
2022-03-06,547267,665752,454641,ARM,Armenia
2022-03-07,547267,665752,454641,ARM,Armenia
2022-03-08,393079,494317,318034,ARM,Armenia
2022-03-09,392663,493126,317298,ARM,Armenia
2022-03-10,388109,490261,316490,ARM,Armenia
2022-03-11,387127,490384,315512,ARM,Armenia
2022-03-12,387127,490590,315512,ARM,Armenia
2022-03-13,387057,490384,315512,ARM,Armenia
2022-03-14,387127,489796,315315,ARM,Armenia
2022-03-15,387127,488911,315315,ARM,Armenia
2022-03-16,387127,489137,315315,ARM,Armenia
2022-03-17,387127,490590,315512,ARM,Armenia
2022-03-18,387127,490590,315512,ARM,Armenia
2022-03-19,387127,489796,315315,ARM,Armenia
2022-03-20,387127,490384,315512,ARM,Armenia
2022-03-21,387594,487627,315942,ARM,Armenia
2022-03-22,389005,488933,316697,ARM,Armenia
2022-03-23,389404,490180,316702,ARM,Armenia
2022-03-24,396158,500101,320471,ARM,Armenia
2022-03-25,396258,500101,320471,ARM,Armenia
2022-03-26,396206,498606,320471,ARM,Armenia
2022-03-27,396206,498606,320471,ARM,Armenia
2022-03-28,396158,500101,320471,ARM,Armenia
2022-03-29,396206,498606,320471,ARM,Armenia
2022-03-30,395338,497182,320336,ARM,Armenia
2022-03-31,394546,497775,319889,ARM,Armenia
2022-04-01,387602,481915,316014,ARM,Armenia
2022-04-02,387602,481793,316014,ARM,Armenia
2022-04-03,387602,480199,315887,ARM,Armenia
2022-04-04,387808,480199,316615,ARM,Armenia
2022-04-05,388293,481302,316651,ARM,Armenia
2022-04-06,380480,474767,311288,ARM,Armenia
2022-04-07,380446,474767,311218,ARM,Armenia
2022-04-08,380579,474873,311972,ARM,Armenia
2022-04-09,380401,474873,311972,ARM,Armenia
2022-04-10,380401,474873,311972,ARM,Armenia
2022-04-11,381058,474919,312080,ARM,Armenia
2022-04-12,380969,474715,311244,ARM,Armenia
2022-04-13,381245,474715,311244,ARM,Armenia
2022-04-14,382462,479113,311409,ARM,Armenia
2022-04-15,382451,479054,312487,ARM,Armenia
2022-04-16,384603,479429,313148,ARM,Armenia
2022-04-17,384603,479429,313148,ARM,Armenia
2022-04-18,384603,479429,313148,ARM,Armenia
2022-04-19,385248,480977,313148,ARM,Armenia
2022-04-20,388734,482154,313931,ARM,Armenia
2022-04-21,389268,482625,315029,ARM,Armenia
2022-04-22,396303,498789,319515,ARM,Armenia
2022-04-23,398211,501204,321166,ARM,Armenia
2022-04-24,399496,505278,322212,ARM,Armenia
2022-04-25,401098,505739,321468,ARM,Armenia
2022-04-26,404317,509965,325386,ARM,Armenia
2022-04-27,404395,508002,324697,ARM,Armenia
2022-04-28,403714,507082,324256,ARM,Armenia
2022-04-29,401344,505438,323985,ARM,Armenia
2022-04-30,397819,501844,324143,ARM,Armenia
2022-05-01,401164,503692,325234,ARM,Armenia
2022-05-02,399161,492976,323309,ARM,Armenia
2022-05-03,405354,498827,325542,ARM,Armenia
2022-05-04,406177,499746,327884,ARM,Armenia
2022-05-05,404822,497849,327830,ARM,Armenia
2022-05-06,403806,498500,319097,ARM,Armenia
2022-05-07,404126,498512,319044,ARM,Armenia
2022-05-08,404126,498512,319044,ARM,Armenia
2022-05-09,404126,498512,319044,ARM,Armenia
2022-05-10,404126,498512,319147,ARM,Armenia
2022-05-11,403546,498019,319083,ARM,Armenia
2022-05-12,403546,498019,319083,ARM,Armenia
2022-05-13,403546,498077,319083,ARM,Armenia
2022-05-14,403546,498077,318570,ARM,Armenia
2022-05-15,401610,497687,314872,ARM,Armenia
2022-05-16,401610,497687,314872,ARM,Armenia
2022-05-17,399974,502287,315391,ARM,Armenia
2022-05-18,397102,498600,314764,ARM,Armenia
2022-05-19,397102,498600,314764,ARM,Armenia
2022-05-20,397102,498600,314764,ARM,Armenia
2022-05-21,396267,490453,313605,ARM,Armenia
2022-05-22,396267,490453,313605,ARM,Armenia
2022-05-23,397240,490830,314116,ARM,Armenia
2022-05-24,399048,491427,313936,ARM,Armenia
2022-05-25,399004,491427,314320,ARM,Armenia
2022-05-26,409391,527025,322112,ARM,Armenia
2022-05-27,430682,600963,330531,ARM,Armenia
2022-05-28,432594,600328,331827,ARM,Armenia
2022-05-29,435209,621626,332290,ARM,Armenia
2022-05-30,454816,650826,336065,ARM,Armenia
2022-05-31,473707,663761,353348,ARM,Armenia
2022-06-01,467347,671775,353524,ARM,Armenia
2022-06-02,471808,686856,360119,ARM,Armenia
