date,value,value_high,value_low,iso_code,country_name
2022-02-28,197313,220031,176154,BTN,Bhutan
2022-03-01,197278,220001,176040,BTN,Bhutan
2022-03-02,197278,220001,176040,BTN,Bhutan
2022-03-03,197278,220001,176040,BTN,Bhutan
2022-03-04,197278,220001,176040,BTN,Bhutan
2022-03-05,197333,220096,176154,BTN,Bhutan
2022-03-06,197333,220096,176154,BTN,Bhutan
2022-03-07,197334,220096,176154,BTN,Bhutan
2022-03-08,197334,220096,176154,BTN,Bhutan
2022-03-09,197334,220096,176154,BTN,Bhutan
2022-03-10,169703,197702,138998,BTN,Bhutan
2022-03-11,168126,197016,138519,BTN,Bhutan
2022-03-12,168167,197016,138519,BTN,Bhutan
2022-03-13,168167,197016,138538,BTN,Bhutan
2022-03-14,168167,197016,138538,BTN,Bhutan
2022-03-15,168167,197016,138549,BTN,Bhutan
2022-03-16,168167,197149,138549,BTN,Bhutan
2022-03-17,168174,197149,138549,BTN,Bhutan
2022-03-18,168174,197149,138549,BTN,Bhutan
2022-03-19,168174,197149,138549,BTN,Bhutan
2022-03-20,168178,197149,138549,BTN,Bhutan
2022-03-21,168071,196339,138743,BTN,Bhutan
2022-03-22,168071,196339,138743,BTN,Bhutan
2022-03-23,168069,196339,138743,BTN,Bhutan
2022-03-24,167410,196366,138591,BTN,Bhutan
2022-03-25,167284,196328,138591,BTN,Bhutan
2022-03-26,167284,196328,138591,BTN,Bhutan
2022-03-27,167410,196366,138591,BTN,Bhutan
2022-03-28,167410,196366,138591,BTN,Bhutan
2022-03-29,167410,196366,138591,BTN,Bhutan
2022-03-30,167284,196206,138024,BTN,Bhutan
2022-03-31,167284,196206,138024,BTN,Bhutan
2022-04-01,176005,201614,143741,BTN,Bhutan
2022-04-02,176005,201614,143741,BTN,Bhutan
2022-04-03,175996,201614,143741,BTN,Bhutan
2022-04-04,175996,201614,143741,BTN,Bhutan
2022-04-05,175978,201287,143362,BTN,Bhutan
2022-04-06,175978,201287,143362,BTN,Bhutan
2022-04-07,175978,201287,143362,BTN,Bhutan
2022-04-08,175978,201287,143362,BTN,Bhutan
2022-04-09,175978,201287,143310,BTN,Bhutan
2022-04-10,175978,201287,143304,BTN,Bhutan
2022-04-11,176240,201989,143706,BTN,Bhutan
2022-04-12,176211,201894,143706,BTN,Bhutan
2022-04-13,176200,201799,143706,BTN,Bhutan
2022-04-14,176051,201860,143831,BTN,Bhutan
2022-04-15,175885,200312,143247,BTN,Bhutan
2022-04-16,175920,200312,143247,BTN,Bhutan
2022-04-17,175920,200312,143247,BTN,Bhutan
2022-04-18,175935,200312,143247,BTN,Bhutan
2022-04-19,175989,200312,143247,BTN,Bhutan
2022-04-20,175923,200312,143237,BTN,Bhutan
2022-04-21,176107,200651,143636,BTN,Bhutan
2022-04-22,176085,200576,143636,BTN,Bhutan
2022-04-23,176085,200576,143636,BTN,Bhutan
2022-04-24,176086,200566,143548,BTN,Bhutan
2022-04-25,176103,200645,143548,BTN,Bhutan
2022-04-26,175855,201285,142057,BTN,Bhutan
2022-04-27,175611,201282,142582,BTN,Bhutan
2022-04-28,175611,201282,142582,BTN,Bhutan
2022-04-29,175605,201282,142582,BTN,Bhutan
2022-04-30,175605,201282,142582,BTN,Bhutan
2022-05-01,175802,201267,142646,BTN,Bhutan
2022-05-02,175802,201267,142646,BTN,Bhutan
2022-05-03,175802,201267,142646,BTN,Bhutan
2022-05-04,175802,201267,142646,BTN,Bhutan
2022-05-05,175802,201267,142646,BTN,Bhutan
2022-05-06,176671,202323,143131,BTN,Bhutan
2022-05-07,176671,202323,143131,BTN,Bhutan
2022-05-08,176671,202323,143131,BTN,Bhutan
2022-05-09,176671,202323,143131,BTN,Bhutan
2022-05-10,176695,202323,143397,BTN,Bhutan
2022-05-11,178364,203777,144894,BTN,Bhutan
2022-05-12,178364,203777,144894,BTN,Bhutan
2022-05-13,178364,203777,144894,BTN,Bhutan
2022-05-14,178364,203777,144894,BTN,Bhutan
2022-05-15,178364,203777,144894,BTN,Bhutan
2022-05-16,178364,203777,144894,BTN,Bhutan
2022-05-17,179773,205756,146687,BTN,Bhutan
2022-05-18,180694,206162,148344,BTN,Bhutan
2022-05-19,180711,206162,148344,BTN,Bhutan
2022-05-20,180711,206162,148344,BTN,Bhutan
2022-05-21,184019,212601,150245,BTN,Bhutan
2022-05-22,184019,212601,150245,BTN,Bhutan
2022-05-23,184019,212601,150245,BTN,Bhutan
2022-05-24,184860,214118,150952,BTN,Bhutan
2022-05-25,184863,214118,150952,BTN,Bhutan
2022-05-26,187945,217110,160467,BTN,Bhutan
2022-05-27,187945,217110,160467,BTN,Bhutan
2022-05-28,187979,217110,160544,BTN,Bhutan
2022-05-29,189993,218417,162577,BTN,Bhutan
2022-05-30,189993,218417,162577,BTN,Bhutan
2022-05-31,189993,218417,162577,BTN,Bhutan
2022-06-01,193744,223433,164280,BTN,Bhutan
2022-06-02,193744,223433,164280,BTN,Bhutan
