date,value,value_high,value_low,iso_code,country_name
2022-02-28,44792829,44792829,44792829,COD,DR Congo
2022-03-01,44668199,44668199,44668199,COD,DR Congo
2022-03-02,44621563,44621563,44621563,COD,DR Congo
2022-03-03,44237485,44237485,44237485,COD,DR Congo
2022-03-04,43890700,43890700,43890700,COD,DR Congo
2022-03-05,43854183,43854183,43854183,COD,DR Congo
2022-03-06,43821700,43821700,43821700,COD,DR Congo
2022-03-07,43630748,43630748,43630748,COD,DR Congo
2022-03-08,43360371,43360371,43360371,COD,DR Congo
2022-03-09,43674477,43674477,43674477,COD,DR Congo
2022-03-10,43723494,43723494,43723494,COD,DR Congo
2022-03-11,43345943,43345943,43345943,COD,DR Congo
2022-03-12,43397928,43397928,43397928,COD,DR Congo
2022-03-13,43502236,43502236,43502236,COD,DR Congo
2022-03-14,43766138,43766138,43766138,COD,DR Congo
2022-03-15,43647804,43647804,43647804,COD,DR Congo
2022-03-16,43668616,43668616,43668616,COD,DR Congo
2022-03-17,43494218,43494218,43494218,COD,DR Congo
2022-03-18,43600609,43600609,43600609,COD,DR Congo
2022-03-19,43419960,43419960,43419960,COD,DR Congo
2022-03-20,43435839,43435839,43435839,COD,DR Congo
2022-03-21,43482347,43482347,43482347,COD,DR Congo
2022-03-22,43916457,43916457,43916457,COD,DR Congo
2022-03-23,43868618,43868618,43868618,COD,DR Congo
2022-03-24,43610607,43610607,43610607,COD,DR Congo
2022-03-25,43766034,43766034,43766034,COD,DR Congo
2022-03-26,44019897,44019897,44019897,COD,DR Congo
2022-03-27,44122622,44122622,44122622,COD,DR Congo
2022-03-28,44453184,44453184,44453184,COD,DR Congo
2022-03-29,44393951,44393951,44393951,COD,DR Congo
2022-03-30,44247083,44247083,44247083,COD,DR Congo
2022-03-31,44219035,44219035,44219035,COD,DR Congo
2022-04-01,44205795,44205795,44205795,COD,DR Congo
2022-04-02,44019733,44019733,44019733,COD,DR Congo
2022-04-03,44691799,44691799,44691799,COD,DR Congo
2022-04-04,44690661,44690661,44690661,COD,DR Congo
2022-04-05,45016415,45016415,45016415,COD,DR Congo
2022-04-06,44626059,44626059,44626059,COD,DR Congo
2022-04-07,44778744,44778744,44778744,COD,DR Congo
2022-04-08,45073999,45073999,45073999,COD,DR Congo
2022-04-09,45072630,45072630,45072630,COD,DR Congo
2022-04-10,45085099,45085099,45085099,COD,DR Congo
2022-04-11,44894333,44894333,44894333,COD,DR Congo
2022-04-12,45071196,45071196,45071196,COD,DR Congo
2022-04-13,45156990,45156990,45156990,COD,DR Congo
2022-04-14,45222985,45222985,45222985,COD,DR Congo
2022-04-15,45113457,45113457,45113457,COD,DR Congo
2022-04-16,45045781,45045781,45045781,COD,DR Congo
2022-04-17,45367117,45367117,45367117,COD,DR Congo
2022-04-18,45521638,45521638,45521638,COD,DR Congo
2022-04-19,45235851,45235851,45235851,COD,DR Congo
2022-04-20,44947388,44947388,44947388,COD,DR Congo
2022-04-21,44924778,44924778,44924778,COD,DR Congo
2022-04-22,44740094,44740094,44740094,COD,DR Congo
2022-04-23,45004262,45004262,45004262,COD,DR Congo
2022-04-24,45004859,45004859,45004859,COD,DR Congo
2022-04-25,44894786,44894786,44894786,COD,DR Congo
2022-04-26,45149732,45149732,45149732,COD,DR Congo
2022-04-27,45239817,45239817,45239817,COD,DR Congo
2022-04-28,45056213,45056213,45056213,COD,DR Congo
2022-04-29,45055363,45055363,45055363,COD,DR Congo
2022-04-30,45022052,45022052,45022052,COD,DR Congo
2022-05-01,45280997,45280997,45280997,COD,DR Congo
2022-05-02,45606493,45606493,45606493,COD,DR Congo
2022-05-03,45917494,45917494,45917494,COD,DR Congo
2022-05-04,45999993,45999993,45999993,COD,DR Congo
2022-05-05,45920146,45920146,45920146,COD,DR Congo
2022-05-06,46208016,46208016,46208016,COD,DR Congo
2022-05-07,46016815,46016815,46016815,COD,DR Congo
2022-05-08,46188728,46188728,46188728,COD,DR Congo
2022-05-09,46515002,46515002,46515002,COD,DR Congo
2022-05-10,46430838,46430838,46430838,COD,DR Congo
2022-05-11,46768374,46768374,46768374,COD,DR Congo
2022-05-12,46851774,46851774,46851774,COD,DR Congo
2022-05-13,46855914,46855914,46855914,COD,DR Congo
2022-05-14,47041457,47041457,47041457,COD,DR Congo
2022-05-15,47334304,47334304,47334304,COD,DR Congo
2022-05-16,47200945,47200945,47200945,COD,DR Congo
2022-05-17,47077528,47077528,47077528,COD,DR Congo
2022-05-18,47109362,47109362,47109362,COD,DR Congo
2022-05-19,46997055,46997055,46997055,COD,DR Congo
2022-05-20,46918228,46918228,46918228,COD,DR Congo
2022-05-21,46763576,46763576,46763576,COD,DR Congo
2022-05-22,46877953,46877953,46877953,COD,DR Congo
2022-05-23,47108176,47108176,47108176,COD,DR Congo
2022-05-24,47602066,47602066,47602066,COD,DR Congo
2022-05-25,47641529,47641529,47641529,COD,DR Congo
2022-05-26,47661400,47661400,47661400,COD,DR Congo
2022-05-27,48091368,48091368,48091368,COD,DR Congo
2022-05-28,47941055,47941055,47941055,COD,DR Congo
2022-05-29,47933516,47933516,47933516,COD,DR Congo
2022-05-30,48409697,48409697,48409697,COD,DR Congo
2022-05-31,48460705,48460705,48460705,COD,DR Congo
2022-06-01,48516730,48516730,48516730,COD,DR Congo
2022-06-02,48659644,48659644,48659644,COD,DR Congo
