date,value,value_high,value_low,iso_code,country_name
2022-02-28,110350,140271,85940,CPV,Cabo Verde
2022-03-01,109582,140217,85807,CPV,Cabo Verde
2022-03-02,109829,140277,86180,CPV,Cabo Verde
2022-03-03,109829,140277,86180,CPV,Cabo Verde
2022-03-04,109582,140217,85807,CPV,Cabo Verde
2022-03-05,109333,140201,85205,CPV,Cabo Verde
2022-03-06,109152,140322,83848,CPV,Cabo Verde
2022-03-07,109519,139274,83902,CPV,Cabo Verde
2022-03-08,109519,139274,83902,CPV,Cabo Verde
2022-03-09,109519,139274,83902,CPV,Cabo Verde
2022-03-10,109788,140344,83549,CPV,Cabo Verde
2022-03-11,107045,138704,83394,CPV,Cabo Verde
2022-03-12,108121,138711,82926,CPV,Cabo Verde
2022-03-13,108132,138711,82926,CPV,Cabo Verde
2022-03-14,106689,135366,81470,CPV,Cabo Verde
2022-03-15,106689,135366,81470,CPV,Cabo Verde
2022-03-16,106689,135366,81470,CPV,Cabo Verde
2022-03-17,106689,135366,81470,CPV,Cabo Verde
2022-03-18,106689,135366,81470,CPV,Cabo Verde
2022-03-19,106689,135366,81470,CPV,Cabo Verde
2022-03-20,106689,135366,81470,CPV,Cabo Verde
2022-03-21,106385,134456,80951,CPV,Cabo Verde
2022-03-22,106385,134456,80951,CPV,Cabo Verde
2022-03-23,106385,134456,80951,CPV,Cabo Verde
2022-03-24,106259,134352,81070,CPV,Cabo Verde
2022-03-25,116889,145588,92919,CPV,Cabo Verde
2022-03-26,116889,145588,92919,CPV,Cabo Verde
2022-03-27,116889,145588,92919,CPV,Cabo Verde
2022-03-28,116889,145588,92919,CPV,Cabo Verde
2022-03-29,116889,145588,92919,CPV,Cabo Verde
2022-03-30,116889,145588,92919,CPV,Cabo Verde
2022-03-31,116889,145588,92919,CPV,Cabo Verde
2022-04-01,116671,146846,92996,CPV,Cabo Verde
2022-04-02,116671,146846,92996,CPV,Cabo Verde
2022-04-03,116671,146846,92996,CPV,Cabo Verde
2022-04-04,116671,146846,92996,CPV,Cabo Verde
2022-04-05,116587,146841,92977,CPV,Cabo Verde
2022-04-06,116587,146841,92977,CPV,Cabo Verde
2022-04-07,116587,146841,92977,CPV,Cabo Verde
2022-04-08,116587,146841,92977,CPV,Cabo Verde
2022-04-09,116587,146841,92977,CPV,Cabo Verde
2022-04-10,116587,146841,92977,CPV,Cabo Verde
2022-04-11,115847,143916,92967,CPV,Cabo Verde
2022-04-12,115924,143916,92967,CPV,Cabo Verde
2022-04-13,116475,144916,92519,CPV,Cabo Verde
2022-04-14,113782,144207,91005,CPV,Cabo Verde
2022-04-15,113651,144207,91005,CPV,Cabo Verde
2022-04-16,113343,144207,91005,CPV,Cabo Verde
2022-04-17,113820,144239,91210,CPV,Cabo Verde
2022-04-18,113343,144207,91005,CPV,Cabo Verde
2022-04-19,113088,144239,91210,CPV,Cabo Verde
2022-04-20,109501,138007,87972,CPV,Cabo Verde
2022-04-21,109417,137732,87645,CPV,Cabo Verde
2022-04-22,109417,137732,87645,CPV,Cabo Verde
2022-04-23,109417,137732,87645,CPV,Cabo Verde
2022-04-24,109417,137732,87645,CPV,Cabo Verde
2022-04-25,109417,137732,87645,CPV,Cabo Verde
2022-04-26,109425,137720,87596,CPV,Cabo Verde
2022-04-27,109395,137720,87596,CPV,Cabo Verde
2022-04-28,109370,137720,87578,CPV,Cabo Verde
2022-04-29,109318,137469,86959,CPV,Cabo Verde
2022-04-30,109310,137469,86959,CPV,Cabo Verde
2022-05-01,79618,98515,64458,CPV,Cabo Verde
2022-05-02,79618,98515,64458,CPV,Cabo Verde
2022-05-03,79614,98515,64458,CPV,Cabo Verde
2022-05-04,79614,98515,64458,CPV,Cabo Verde
2022-05-05,79570,98515,64377,CPV,Cabo Verde
2022-05-06,79543,98421,64346,CPV,Cabo Verde
2022-05-07,79543,98421,64346,CPV,Cabo Verde
2022-05-08,79607,98437,64346,CPV,Cabo Verde
2022-05-09,79782,99365,64474,CPV,Cabo Verde
2022-05-10,79782,99365,64474,CPV,Cabo Verde
2022-05-11,80479,99560,65855,CPV,Cabo Verde
2022-05-12,80571,99560,66897,CPV,Cabo Verde
2022-05-13,80579,99560,67010,CPV,Cabo Verde
2022-05-14,80579,99560,67010,CPV,Cabo Verde
2022-05-15,80733,99560,67010,CPV,Cabo Verde
2022-05-16,80733,99560,67010,CPV,Cabo Verde
2022-05-17,80500,99977,66934,CPV,Cabo Verde
2022-05-18,80500,99858,66934,CPV,Cabo Verde
2022-05-19,80691,99123,67890,CPV,Cabo Verde
2022-05-20,80875,99123,67890,CPV,Cabo Verde
2022-05-21,80895,99054,67951,CPV,Cabo Verde
2022-05-22,80895,99054,67951,CPV,Cabo Verde
2022-05-23,80898,99054,67951,CPV,Cabo Verde
2022-05-24,80805,99123,67890,CPV,Cabo Verde
2022-05-25,80805,99123,68007,CPV,Cabo Verde
2022-05-26,80884,98108,68007,CPV,Cabo Verde
2022-05-27,80884,98108,68007,CPV,Cabo Verde
2022-05-28,80884,98108,68007,CPV,Cabo Verde
2022-05-29,80884,98108,68007,CPV,Cabo Verde
2022-05-30,80884,98108,68007,CPV,Cabo Verde
2022-05-31,80884,98108,68007,CPV,Cabo Verde
2022-06-01,110442,139129,87030,CPV,Cabo Verde
2022-06-02,110442,139129,87030,CPV,Cabo Verde
2022-06-03,110442,139129,87030,CPV,Cabo Verde
2022-06-04,110442,139129,87030,CPV,Cabo Verde
2022-06-05,110442,139129,87030,CPV,Cabo Verde
2022-06-06,110442,139129,87030,CPV,Cabo Verde
2022-06-07,110442,139129,87030,CPV,Cabo Verde
2022-06-08,110442,139129,87030,CPV,Cabo Verde
2022-06-09,110442,139129,87310,CPV,Cabo Verde
2022-06-10,110442,139129,87030,CPV,Cabo Verde
2022-06-11,110548,139303,86988,CPV,Cabo Verde
2022-06-12,110548,139303,86988,CPV,Cabo Verde
2022-06-13,110548,139303,86988,CPV,Cabo Verde
