date,value,value_high,value_low,iso_code,country_name
2022-02-28,1676131,1964364,1415332,ECU,Ecuador
2022-03-01,1694050,1986742,1436313,ECU,Ecuador
2022-03-02,1690148,1986018,1431297,ECU,Ecuador
2022-03-03,1690148,1986018,1431297,ECU,Ecuador
2022-03-04,1690148,1986018,1431297,ECU,Ecuador
2022-03-05,1727461,2026378,1464963,ECU,Ecuador
2022-03-06,1727461,2026378,1464963,ECU,Ecuador
2022-03-07,1727461,2026378,1464963,ECU,Ecuador
2022-03-08,1727461,2026378,1464963,ECU,Ecuador
2022-03-09,1727461,2026378,1464963,ECU,Ecuador
2022-03-10,1474200,1871795,1211061,ECU,Ecuador
2022-03-11,1475838,1875312,1214899,ECU,Ecuador
2022-03-12,1475838,1875312,1214899,ECU,Ecuador
2022-03-13,1475838,1875312,1214899,ECU,Ecuador
2022-03-14,1475838,1875312,1214899,ECU,Ecuador
2022-03-15,1475838,1875312,1214899,ECU,Ecuador
2022-03-16,1475838,1875312,1214899,ECU,Ecuador
2022-03-17,1475838,1875312,1214899,ECU,Ecuador
2022-03-18,1475838,1875312,1214899,ECU,Ecuador
2022-03-19,1475838,1875312,1214899,ECU,Ecuador
2022-03-20,1475838,1875312,1214899,ECU,Ecuador
2022-03-21,1487437,1872913,1232578,ECU,Ecuador
2022-03-22,1487437,1872913,1232578,ECU,Ecuador
2022-03-23,1487102,1872005,1232439,ECU,Ecuador
2022-03-24,1485722,1864379,1227528,ECU,Ecuador
2022-03-25,1485722,1864379,1227528,ECU,Ecuador
2022-03-26,1485722,1864379,1227528,ECU,Ecuador
2022-03-27,1486064,1865115,1227739,ECU,Ecuador
2022-03-28,1486064,1865115,1227739,ECU,Ecuador
2022-03-29,1486064,1865115,1227739,ECU,Ecuador
2022-03-30,1486064,1865115,1227739,ECU,Ecuador
2022-03-31,1486064,1865115,1227739,ECU,Ecuador
2022-04-01,1475855,1842966,1244842,ECU,Ecuador
2022-04-02,1475855,1842966,1244842,ECU,Ecuador
2022-04-03,1475855,1842966,1244842,ECU,Ecuador
2022-04-04,1475855,1842966,1244842,ECU,Ecuador
2022-04-05,1465459,1833021,1229134,ECU,Ecuador
2022-04-06,1465459,1833021,1229134,ECU,Ecuador
2022-04-07,1465459,1833021,1229134,ECU,Ecuador
2022-04-08,1465459,1833021,1229134,ECU,Ecuador
2022-04-09,1464733,1832134,1226582,ECU,Ecuador
2022-04-10,1464733,1832134,1226582,ECU,Ecuador
2022-04-11,1469928,1847216,1238888,ECU,Ecuador
2022-04-12,1469928,1847216,1238888,ECU,Ecuador
2022-04-13,1469928,1847216,1238888,ECU,Ecuador
2022-04-14,1467854,1833365,1228622,ECU,Ecuador
2022-04-15,1467854,1833365,1228622,ECU,Ecuador
2022-04-16,1467854,1833365,1228622,ECU,Ecuador
2022-04-17,1467854,1833365,1228622,ECU,Ecuador
2022-04-18,1467854,1833365,1228622,ECU,Ecuador
2022-04-19,1467854,1833365,1228622,ECU,Ecuador
2022-04-20,1467854,1833365,1228622,ECU,Ecuador
2022-04-21,1463321,1820285,1227241,ECU,Ecuador
2022-04-22,1463321,1820285,1227241,ECU,Ecuador
2022-04-23,1463321,1820285,1227241,ECU,Ecuador
2022-04-24,1463321,1820285,1227241,ECU,Ecuador
2022-04-25,1390550,1676980,1194109,ECU,Ecuador
2022-04-26,1461225,1813768,1225817,ECU,Ecuador
2022-04-27,1461225,1813768,1225817,ECU,Ecuador
2022-04-28,1461225,1813768,1225817,ECU,Ecuador
2022-04-29,1461225,1813768,1225817,ECU,Ecuador
2022-04-30,1461225,1813768,1225817,ECU,Ecuador
2022-05-01,1464241,1830700,1227318,ECU,Ecuador
2022-05-02,1464241,1830700,1227318,ECU,Ecuador
2022-05-03,1464241,1830700,1227318,ECU,Ecuador
2022-05-04,1464241,1830700,1227318,ECU,Ecuador
2022-05-05,1464241,1830700,1227318,ECU,Ecuador
2022-05-06,1463151,1835422,1224655,ECU,Ecuador
2022-05-07,1463151,1835422,1224655,ECU,Ecuador
2022-05-08,1470707,1837611,1228139,ECU,Ecuador
2022-05-09,1470707,1837611,1228139,ECU,Ecuador
2022-05-10,1470707,1837611,1228139,ECU,Ecuador
2022-05-11,1478067,1864199,1231657,ECU,Ecuador
2022-05-12,1477909,1863842,1231657,ECU,Ecuador
2022-05-13,1477656,1863842,1231654,ECU,Ecuador
2022-05-14,1477656,1863842,1231654,ECU,Ecuador
2022-05-15,1477656,1863842,1231654,ECU,Ecuador
2022-05-16,1477656,1863842,1231654,ECU,Ecuador
2022-05-17,1480288,1855029,1235918,ECU,Ecuador
2022-05-18,1508281,1892747,1239664,ECU,Ecuador
2022-05-19,1508281,1892747,1239664,ECU,Ecuador
2022-05-20,1508281,1892747,1239664,ECU,Ecuador
2022-05-21,1507231,1904316,1237604,ECU,Ecuador
2022-05-22,1507231,1904316,1237604,ECU,Ecuador
2022-05-23,1541814,1972052,1241221,ECU,Ecuador
2022-05-24,1534585,1969468,1234315,ECU,Ecuador
2022-05-25,1534585,1969468,1234315,ECU,Ecuador
2022-05-26,1534585,1969468,1234315,ECU,Ecuador
2022-05-27,1534585,1969468,1234315,ECU,Ecuador
2022-05-28,1534585,1969468,1234315,ECU,Ecuador
2022-05-29,1534585,1969468,1234315,ECU,Ecuador
2022-05-30,1534585,1969468,1234315,ECU,Ecuador
2022-05-31,1534585,1969468,1234315,ECU,Ecuador
2022-06-01,1382695,1666273,1193833,ECU,Ecuador
2022-06-02,1382695,1666273,1193833,ECU,Ecuador
