date,value,value_high,value_low,iso_code,country_name
2022-02-28,6020297,7420969,4853717,GHA,Ghana
2022-03-01,6053669,7552312,4835358,GHA,Ghana
2022-03-02,6046749,7544175,4823694,GHA,Ghana
2022-03-03,6051930,7544175,4823694,GHA,Ghana
2022-03-04,6050123,7541427,4820631,GHA,Ghana
2022-03-05,6050123,7541427,4820631,GHA,Ghana
2022-03-06,6050123,7541427,4820631,GHA,Ghana
2022-03-07,6052404,7539163,4821732,GHA,Ghana
2022-03-08,6059849,7567028,4824374,GHA,Ghana
2022-03-09,6060116,7567028,4824374,GHA,Ghana
2022-03-10,6060116,7569253,4824374,GHA,Ghana
2022-03-11,6107084,7632074,4887159,GHA,Ghana
2022-03-12,6107084,7632074,4887159,GHA,Ghana
2022-03-13,6115948,7685021,4887159,GHA,Ghana
2022-03-14,6118425,7685021,4880661,GHA,Ghana
2022-03-15,6130543,7745172,4880661,GHA,Ghana
2022-03-16,6127501,7745172,4880661,GHA,Ghana
2022-03-17,6125474,7745172,4880661,GHA,Ghana
2022-03-18,6117767,7708180,4878885,GHA,Ghana
2022-03-19,6117767,7708180,4878885,GHA,Ghana
2022-03-20,6117767,7708180,4878885,GHA,Ghana
2022-03-21,6042050,7601305,4839303,GHA,Ghana
2022-03-22,6042050,7601305,4839303,GHA,Ghana
2022-03-23,6024560,7574025,4803142,GHA,Ghana
2022-03-24,5958063,7415900,4738918,GHA,Ghana
2022-03-25,5955765,7414258,4737624,GHA,Ghana
2022-03-26,5955765,7414258,4737624,GHA,Ghana
2022-03-27,5955275,7414258,4737624,GHA,Ghana
2022-03-28,5955275,7409318,4737624,GHA,Ghana
2022-03-29,5952406,7409318,4737624,GHA,Ghana
2022-03-30,5894156,7378295,4692288,GHA,Ghana
2022-03-31,5873807,7360747,4696649,GHA,Ghana
2022-04-01,5699772,7008679,4599177,GHA,Ghana
2022-04-02,5699660,7012217,4605036,GHA,Ghana
2022-04-03,5699504,7010936,4605036,GHA,Ghana
2022-04-04,5732275,7073479,4622600,GHA,Ghana
2022-04-05,5701111,7049758,4614904,GHA,Ghana
2022-04-06,5711364,7056448,4614904,GHA,Ghana
2022-04-07,5710764,7056448,4614904,GHA,Ghana
2022-04-08,5707543,7055204,4614904,GHA,Ghana
2022-04-09,5707771,7055204,4614904,GHA,Ghana
2022-04-10,5698359,7049700,4606366,GHA,Ghana
2022-04-11,5710887,7065561,4593820,GHA,Ghana
2022-04-12,5709346,7065561,4593331,GHA,Ghana
2022-04-13,5705740,7072726,4590588,GHA,Ghana
2022-04-14,5674175,7012415,4561326,GHA,Ghana
2022-04-15,5721771,7158961,4548046,GHA,Ghana
2022-04-16,5728491,7164382,4554219,GHA,Ghana
2022-04-17,5725935,7199539,4552077,GHA,Ghana
2022-04-18,5723619,7199539,4552077,GHA,Ghana
2022-04-19,5723619,7199539,4552077,GHA,Ghana
2022-04-20,5619806,7098097,4481399,GHA,Ghana
2022-04-21,5606161,7098105,4465905,GHA,Ghana
2022-04-22,5597533,7090641,4462423,GHA,Ghana
2022-04-23,5606161,7098105,4465905,GHA,Ghana
2022-04-24,5650244,7131372,4495296,GHA,Ghana
2022-04-25,5687877,7191588,4513071,GHA,Ghana
2022-04-26,5691506,7170297,4550854,GHA,Ghana
2022-04-27,5706426,7172293,4557331,GHA,Ghana
2022-04-28,5720207,7172293,4564188,GHA,Ghana
2022-04-29,5672448,7125371,4565034,GHA,Ghana
2022-04-30,5672448,7125371,4565034,GHA,Ghana
2022-05-01,5677009,7145733,4554818,GHA,Ghana
2022-05-02,5694827,7139489,4546882,GHA,Ghana
2022-05-03,5694827,7144296,4549203,GHA,Ghana
2022-05-04,5671230,7160926,4533779,GHA,Ghana
2022-05-05,5671230,7160926,4533779,GHA,Ghana
2022-05-06,5673568,7147820,4587794,GHA,Ghana
2022-05-07,5676944,7155322,4589443,GHA,Ghana
2022-05-08,5685132,7155322,4597724,GHA,Ghana
2022-05-09,5686439,7155322,4600455,GHA,Ghana
2022-05-10,5691933,7155322,4607013,GHA,Ghana
2022-05-11,5693106,7123235,4621196,GHA,Ghana
2022-05-12,5852307,7295163,4759332,GHA,Ghana
2022-05-13,5855348,7247671,4770406,GHA,Ghana
2022-05-14,5855348,7247671,4770406,GHA,Ghana
