date,value,value_high,value_low,iso_code,country_name
2022-02-28,4678105,4678105,4678105,HTI,Haiti
2022-03-01,4689158,4689158,4689158,HTI,Haiti
2022-03-02,4641205,4641205,4641205,HTI,Haiti
2022-03-03,4608689,4608689,4608689,HTI,Haiti
2022-03-04,4589775,4589775,4589775,HTI,Haiti
2022-03-05,4625961,4625961,4625961,HTI,Haiti
2022-03-06,4599990,4599990,4599990,HTI,Haiti
2022-03-07,4609194,4609194,4609194,HTI,Haiti
2022-03-08,4639102,4639102,4639102,HTI,Haiti
2022-03-09,4660571,4660571,4660571,HTI,Haiti
2022-03-10,4772511,4772511,4772511,HTI,Haiti
2022-03-11,4777263,4777263,4777263,HTI,Haiti
2022-03-12,4775247,4775247,4775247,HTI,Haiti
2022-03-13,4869276,4869276,4869276,HTI,Haiti
2022-03-14,4603449,4603449,4603449,HTI,Haiti
2022-03-15,4784487,4784487,4784487,HTI,Haiti
2022-03-16,4868007,4868007,4868007,HTI,Haiti
2022-03-17,4604464,4604464,4604464,HTI,Haiti
2022-03-18,4576096,4576096,4576096,HTI,Haiti
2022-03-19,4511176,4511176,4511176,HTI,Haiti
2022-03-20,4426626,4426626,4426626,HTI,Haiti
2022-03-21,4363517,4363517,4363517,HTI,Haiti
2022-03-22,4345653,4345653,4345653,HTI,Haiti
2022-03-23,4350855,4350855,4350855,HTI,Haiti
2022-03-24,4369780,4369780,4369780,HTI,Haiti
2022-03-25,4430654,4430654,4430654,HTI,Haiti
2022-03-26,4590646,4590646,4590646,HTI,Haiti
2022-03-27,4581064,4581064,4581064,HTI,Haiti
2022-03-28,4657440,4657440,4657440,HTI,Haiti
2022-03-29,4664617,4664617,4664617,HTI,Haiti
2022-03-30,4522046,4522046,4522046,HTI,Haiti
2022-03-31,4435524,4435524,4435524,HTI,Haiti
2022-04-01,4450284,4450284,4450284,HTI,Haiti
2022-04-02,4563283,4563283,4563283,HTI,Haiti
2022-04-03,4580808,4580808,4580808,HTI,Haiti
2022-04-04,4553791,4553791,4553791,HTI,Haiti
2022-04-05,4602984,4602984,4602984,HTI,Haiti
2022-04-06,4610519,4610519,4610519,HTI,Haiti
2022-04-07,4568038,4568038,4568038,HTI,Haiti
2022-04-08,4640285,4640285,4640285,HTI,Haiti
2022-04-09,4674938,4674938,4674938,HTI,Haiti
