date,value,value_high,value_low,iso_code,country_name
2022-02-28,232395494,263147555,204536069,IND,India
2022-03-01,233112803,264128965,205199177,IND,India
2022-03-02,233072611,264004223,205204418,IND,India
2022-03-03,233072819,264006915,205204418,IND,India
2022-03-04,233067988,263996395,205199177,IND,India
2022-03-05,232220222,262248138,204522107,IND,India
2022-03-06,231876228,261744581,204191073,IND,India
2022-03-07,231871569,261747072,204208961,IND,India
2022-03-08,231874009,261747072,204208961,IND,India
2022-03-09,232520698,262080823,204584066,IND,India
2022-03-10,224259583,249837069,200468470,IND,India
2022-03-11,225742471,251732225,202802035,IND,India
2022-03-12,225746787,251736065,202805006,IND,India
2022-03-13,225751966,251742271,202805058,IND,India
2022-03-14,225754306,251742271,202805058,IND,India
2022-03-15,226484901,252357193,203053382,IND,India
2022-03-16,226504588,253872452,203059785,IND,India
2022-03-17,226801967,253877467,203062990,IND,India
2022-03-18,226801967,253877467,203062990,IND,India
2022-03-19,226794046,253703656,203062806,IND,India
2022-03-20,227272148,255146345,203336489,IND,India
2022-03-21,228309800,256440907,204762465,IND,India
2022-03-22,228315229,256440907,204762397,IND,India
2022-03-23,236921474,269348856,208860658,IND,India
2022-03-24,238933216,271448884,211582002,IND,India
2022-03-25,238945983,271618222,211582002,IND,India
2022-03-26,238943931,271566716,211582002,IND,India
2022-03-27,238931164,271566716,211582002,IND,India
2022-03-28,238931164,271566716,211582002,IND,India
2022-03-29,238945771,271603969,211582002,IND,India
2022-03-30,238231984,270663506,211135443,IND,India
2022-03-31,238666563,270712072,211261289,IND,India
2022-04-01,241596604,273966085,213189604,IND,India
2022-04-02,241483856,273958008,213184067,IND,India
2022-04-03,241476786,273925408,213184067,IND,India
2022-04-04,241438759,273070367,213184067,IND,India
2022-04-05,241902828,274674696,214401485,IND,India
2022-04-06,241618525,274295115,214397343,IND,India
2022-04-07,241561031,274295115,214392189,IND,India
2022-04-08,241561031,274295115,214392189,IND,India
2022-04-09,242003087,274652737,214662986,IND,India
2022-04-10,242011615,274713389,214683542,IND,India
2022-04-11,242547267,274985510,214717138,IND,India
2022-04-12,242445038,275057044,214659208,IND,India
2022-04-13,242408376,275297032,214636340,IND,India
2022-04-14,244875925,278383227,216339012,IND,India
2022-04-15,244913052,278464406,216339012,IND,India
2022-04-16,244895771,278549672,216320517,IND,India
2022-04-17,245164582,281047176,216635599,IND,India
2022-04-18,245335379,281047176,216797316,IND,India
2022-04-19,245392838,281125202,216683324,IND,India
2022-04-20,245391939,281121702,216782775,IND,India
2022-04-21,245137642,280396305,216840551,IND,India
2022-04-22,244919918,278805527,217123887,IND,India
2022-04-23,244883577,279977966,217087890,IND,India
2022-04-24,244776000,280765749,217003351,IND,India
2022-04-25,244661488,278654756,216769106,IND,India
2022-04-26,243929515,277257864,216030506,IND,India
2022-04-27,243921273,277257864,216030095,IND,India
2022-04-28,243919455,277257864,216030095,IND,India
2022-04-29,243914676,277301132,215969045,IND,India
2022-04-30,243914676,277301132,215969045,IND,India
2022-05-01,250006430,288009809,218136443,IND,India
2022-05-02,252556913,292060966,219927538,IND,India
2022-05-03,252556510,292082010,219966285,IND,India
2022-05-04,252494488,292082010,219966285,IND,India
2022-05-05,252494488,292082010,219963506,IND,India
2022-05-06,252412968,292254521,220204352,IND,India
2022-05-07,251537200,290989706,219415138,IND,India
2022-05-08,251544983,291046302,219598549,IND,India
2022-05-09,251544983,291046302,219598549,IND,India
2022-05-10,251488368,291046302,219598549,IND,India
2022-05-11,251758319,291258782,219713073,IND,India
2022-05-12,251758319,291258782,219713073,IND,India
2022-05-13,251758593,291258782,219712276,IND,India
2022-05-14,251758593,291237738,219712276,IND,India
2022-05-15,251657570,291250912,219709368,IND,India
2022-05-16,251657570,291250912,219709368,IND,India
2022-05-17,252197712,292874965,220202681,IND,India
2022-05-18,252110000,292706885,220047358,IND,India
2022-05-19,252110000,292706885,220047358,IND,India
2022-05-20,252152009,292706885,220047358,IND,India
2022-05-21,252249238,292417454,220004826,IND,India
2022-05-22,252249060,292417454,220004826,IND,India
2022-05-23,251809787,292203400,219571587,IND,India
2022-05-24,249651862,290792416,217317128,IND,India
2022-05-25,250544391,291032307,217812282,IND,India
2022-05-26,241344458,278343494,212719066,IND,India
2022-05-27,241712571,278508243,213134987,IND,India
2022-05-28,241647756,278448747,213224759,IND,India
2022-05-29,241647756,278448747,213224759,IND,India
2022-05-30,241647756,278448747,213224759,IND,India
2022-05-31,241530184,278435700,213171298,IND,India
2022-06-01,241622304,279516121,212158098,IND,India
2022-06-02,241622304,279516121,212158098,IND,India
