date,value,value_high,value_low,iso_code,country_name
2022-02-28,1451321,1771566,1180889,JOR,Jordan
2022-03-01,1441590,1759271,1172505,JOR,Jordan
2022-03-02,1441590,1759271,1172505,JOR,Jordan
2022-03-03,1441590,1759271,1172505,JOR,Jordan
2022-03-04,1441590,1759271,1172505,JOR,Jordan
2022-03-05,1446071,1766086,1179164,JOR,Jordan
2022-03-06,1447365,1769131,1179513,JOR,Jordan
2022-03-07,1447365,1769131,1179513,JOR,Jordan
2022-03-08,1447365,1769131,1179513,JOR,Jordan
2022-03-09,1447365,1769131,1179513,JOR,Jordan
2022-03-10,1437963,1756878,1167375,JOR,Jordan
2022-03-11,1473859,1795478,1173992,JOR,Jordan
2022-03-12,1473859,1795478,1173992,JOR,Jordan
2022-03-13,1473859,1795478,1173992,JOR,Jordan
2022-03-14,1473859,1795478,1173992,JOR,Jordan
2022-03-15,1473859,1795478,1173992,JOR,Jordan
2022-03-16,1473859,1795478,1173992,JOR,Jordan
2022-03-17,1473859,1795478,1173992,JOR,Jordan
2022-03-18,1473859,1795478,1173992,JOR,Jordan
2022-03-19,1473859,1795478,1173992,JOR,Jordan
2022-03-20,1473859,1795478,1173992,JOR,Jordan
2022-03-21,1490643,1816050,1186654,JOR,Jordan
2022-03-22,1496294,1816217,1203662,JOR,Jordan
2022-03-23,1496294,1816217,1203662,JOR,Jordan
2022-03-24,1494000,1822509,1186427,JOR,Jordan
2022-03-25,1494000,1822509,1186427,JOR,Jordan
2022-03-26,1494000,1822509,1186427,JOR,Jordan
2022-03-27,1494000,1822509,1186427,JOR,Jordan
2022-03-28,1494000,1822509,1186427,JOR,Jordan
2022-03-29,1494000,1822509,1186427,JOR,Jordan
2022-03-30,1493138,1812052,1183380,JOR,Jordan
2022-03-31,1493138,1812052,1183380,JOR,Jordan
2022-04-01,1488801,1812009,1202372,JOR,Jordan
2022-04-02,1488801,1812009,1202372,JOR,Jordan
2022-04-03,1488801,1812009,1202372,JOR,Jordan
2022-04-04,1488801,1812009,1202372,JOR,Jordan
2022-04-05,1487924,1812131,1184050,JOR,Jordan
2022-04-06,1487924,1812131,1184050,JOR,Jordan
2022-04-07,1487924,1812131,1184050,JOR,Jordan
2022-04-08,1487924,1812131,1184050,JOR,Jordan
2022-04-09,1487924,1812131,1184050,JOR,Jordan
2022-04-10,1487924,1812131,1184050,JOR,Jordan
2022-04-11,1488592,1815301,1202261,JOR,Jordan
2022-04-12,1496431,1815413,1202310,JOR,Jordan
2022-04-13,1496431,1815413,1202310,JOR,Jordan
2022-04-14,1495797,1811922,1187610,JOR,Jordan
2022-04-15,1495797,1811922,1187610,JOR,Jordan
2022-04-16,1495797,1811922,1187610,JOR,Jordan
2022-04-17,1495797,1811922,1187610,JOR,Jordan
2022-04-18,1495797,1811922,1187610,JOR,Jordan
2022-04-19,1495797,1811922,1187610,JOR,Jordan
2022-04-20,1495797,1811922,1187610,JOR,Jordan
2022-04-21,1497782,1817775,1185089,JOR,Jordan
2022-04-22,1498679,1818424,1190413,JOR,Jordan
2022-04-23,1498679,1818424,1190413,JOR,Jordan
2022-04-24,1500646,1819492,1190475,JOR,Jordan
2022-04-25,1506366,1835726,1193278,JOR,Jordan
2022-04-26,1501086,1820428,1191280,JOR,Jordan
2022-04-27,1501086,1820428,1191280,JOR,Jordan
2022-04-28,1501086,1820428,1191280,JOR,Jordan
2022-04-29,1501865,1823922,1191280,JOR,Jordan
2022-04-30,1501865,1823922,1191280,JOR,Jordan
2022-05-01,1494035,1819447,1193587,JOR,Jordan
2022-05-02,1494035,1819447,1193587,JOR,Jordan
2022-05-03,1494035,1819447,1193587,JOR,Jordan
2022-05-04,1494035,1819447,1193587,JOR,Jordan
2022-05-05,1494035,1819447,1193587,JOR,Jordan
2022-05-06,1493478,1821675,1192948,JOR,Jordan
2022-05-07,1493478,1821675,1192948,JOR,Jordan
2022-05-08,1493478,1821675,1192948,JOR,Jordan
2022-05-09,1493478,1821675,1192948,JOR,Jordan
2022-05-10,1493478,1821675,1192948,JOR,Jordan
2022-05-11,1492860,1821565,1192609,JOR,Jordan
2022-05-12,1501016,1822563,1195417,JOR,Jordan
2022-05-13,1501016,1822563,1195417,JOR,Jordan
2022-05-14,1501016,1822563,1195417,JOR,Jordan
2022-05-15,1475840,1793927,1178307,JOR,Jordan
2022-05-16,1475840,1793927,1178307,JOR,Jordan
2022-05-17,1476060,1791779,1178350,JOR,Jordan
2022-05-18,1476060,1791779,1178350,JOR,Jordan
2022-05-19,1476060,1791779,1178350,JOR,Jordan
2022-05-20,1476060,1791779,1178350,JOR,Jordan
2022-05-21,1474800,1791933,1178711,JOR,Jordan
2022-05-22,1475202,1791933,1185152,JOR,Jordan
2022-05-23,1475202,1791933,1185152,JOR,Jordan
2022-05-24,1474216,1796002,1189911,JOR,Jordan
2022-05-25,1474216,1796002,1189911,JOR,Jordan
2022-05-26,1474216,1796002,1189911,JOR,Jordan
2022-05-27,1474216,1796002,1189911,JOR,Jordan
2022-05-28,1474216,1796002,1189911,JOR,Jordan
2022-05-29,1474216,1796002,1189911,JOR,Jordan
2022-05-30,1474216,1796002,1189911,JOR,Jordan
2022-05-31,1474216,1796002,1189911,JOR,Jordan
2022-06-01,1472689,1777560,1187404,JOR,Jordan
2022-06-02,1472689,1777560,1187404,JOR,Jordan
