date,value,value_high,value_low,iso_code,country_name
2022-02-28,8070630,8070630,8070630,KEN,Kenya
2022-03-01,8285616,8285616,8285616,KEN,Kenya
2022-03-02,8079034,8079034,8079034,KEN,Kenya
2022-03-03,7928628,7928628,7928628,KEN,Kenya
2022-03-04,7987097,7987097,7987097,KEN,Kenya
2022-03-05,7916233,7916233,7916233,KEN,Kenya
2022-03-06,7837636,7837636,7837636,KEN,Kenya
2022-03-07,8262128,8262128,8262128,KEN,Kenya
2022-03-08,8353727,8353727,8353727,KEN,Kenya
2022-03-09,8245775,8245775,8245775,KEN,Kenya
2022-03-10,8072886,8072886,8072886,KEN,Kenya
2022-03-11,8193522,8193522,8193522,KEN,Kenya
2022-03-12,8094088,8094088,8094088,KEN,Kenya
2022-03-13,8155831,8155831,8155831,KEN,Kenya
2022-03-14,8758153,8758153,8758153,KEN,Kenya
2022-03-15,7700360,7700360,7700360,KEN,Kenya
2022-03-16,7602085,7602085,7602085,KEN,Kenya
2022-03-17,7559123,7559123,7559123,KEN,Kenya
2022-03-18,7558548,7558548,7558548,KEN,Kenya
2022-03-19,7439139,7439139,7439139,KEN,Kenya
2022-03-20,7357861,7357861,7357861,KEN,Kenya
2022-03-21,7555595,7555595,7555595,KEN,Kenya
2022-03-22,7190272,7190272,7190272,KEN,Kenya
2022-03-23,7203851,7203851,7203851,KEN,Kenya
2022-03-24,6734421,6734421,6734421,KEN,Kenya
2022-03-25,6807356,6807356,6807356,KEN,Kenya
2022-03-26,6831084,6831084,6831084,KEN,Kenya
2022-03-27,6601780,6601780,6601780,KEN,Kenya
2022-03-28,6686364,6686364,6686364,KEN,Kenya
2022-03-29,6724653,6724653,6724653,KEN,Kenya
2022-03-30,6420534,6420534,6420534,KEN,Kenya
2022-03-31,6315643,6315643,6315643,KEN,Kenya
2022-04-01,6482736,6482736,6482736,KEN,Kenya
2022-04-02,6416116,6416116,6416116,KEN,Kenya
2022-04-03,6155644,6155644,6155644,KEN,Kenya
2022-04-04,6475203,6475203,6475203,KEN,Kenya
2022-04-05,6481603,6481603,6481603,KEN,Kenya
2022-04-06,6376901,6376901,6376901,KEN,Kenya
2022-04-07,6641123,6641123,6641123,KEN,Kenya
2022-04-08,6664971,6664971,6664971,KEN,Kenya
2022-04-09,7015561,7015561,7015561,KEN,Kenya
2022-04-10,7005879,7005879,7005879,KEN,Kenya
2022-04-11,7075970,7075970,7075970,KEN,Kenya
2022-04-12,7121050,7121050,7121050,KEN,Kenya
2022-04-13,6917727,6917727,6917727,KEN,Kenya
2022-04-14,6843087,6843087,6843087,KEN,Kenya
2022-04-15,6969025,6969025,6969025,KEN,Kenya
2022-04-16,6977865,6977865,6977865,KEN,Kenya
2022-04-17,6562909,6562909,6562909,KEN,Kenya
2022-04-18,6422361,6422361,6422361,KEN,Kenya
2022-04-19,6545699,6545699,6545699,KEN,Kenya
2022-04-20,6716753,6716753,6716753,KEN,Kenya
2022-04-21,6507254,6507254,6507254,KEN,Kenya
2022-04-22,6453714,6453714,6453714,KEN,Kenya
2022-04-23,6422224,6422224,6422224,KEN,Kenya
2022-04-24,6302594,6302594,6302594,KEN,Kenya
2022-04-25,6336122,6336122,6336122,KEN,Kenya
2022-04-26,6306564,6306564,6306564,KEN,Kenya
2022-04-27,6409216,6409216,6409216,KEN,Kenya
2022-04-28,6380954,6380954,6380954,KEN,Kenya
2022-04-29,6324426,6324426,6324426,KEN,Kenya
2022-04-30,6172926,6172926,6172926,KEN,Kenya
2022-05-01,6059711,6059711,6059711,KEN,Kenya
2022-05-02,5831335,5831335,5831335,KEN,Kenya
2022-05-03,6543249,6543249,6543249,KEN,Kenya
2022-05-04,6221218,6221218,6221218,KEN,Kenya
2022-05-05,6401155,6401155,6401155,KEN,Kenya
2022-05-06,6400056,6400056,6400056,KEN,Kenya
2022-05-07,6205939,6205939,6205939,KEN,Kenya
2022-05-08,5611643,5611643,5611643,KEN,Kenya
2022-05-09,5548200,5548200,5548200,KEN,Kenya
2022-05-10,5413330,5413330,5413330,KEN,Kenya
2022-05-11,5391830,5391830,5391830,KEN,Kenya
2022-05-12,5421148,5421148,5421148,KEN,Kenya
2022-05-13,5702567,5702567,5702567,KEN,Kenya
2022-05-14,5766971,5766971,5766971,KEN,Kenya
2022-05-15,5808780,5808780,5808780,KEN,Kenya
2022-05-16,5888277,5888277,5888277,KEN,Kenya
2022-05-17,5940202,5940202,5940202,KEN,Kenya
2022-05-18,6090699,6090699,6090699,KEN,Kenya
2022-05-19,5978525,5978525,5978525,KEN,Kenya
2022-05-20,6013585,6013585,6013585,KEN,Kenya
2022-05-21,6386704,6386704,6386704,KEN,Kenya
2022-05-22,6171178,6171178,6171178,KEN,Kenya
2022-05-23,6240734,6240734,6240734,KEN,Kenya
2022-05-24,6429084,6429084,6429084,KEN,Kenya
2022-05-25,6576816,6576816,6576816,KEN,Kenya
2022-05-26,6559266,6559266,6559266,KEN,Kenya
2022-05-27,6176930,6176930,6176930,KEN,Kenya
2022-05-28,6091963,6091963,6091963,KEN,Kenya
2022-05-29,6272363,6272363,6272363,KEN,Kenya
2022-05-30,6599516,6599516,6599516,KEN,Kenya
2022-05-31,6848269,6848269,6848269,KEN,Kenya
2022-06-01,7090902,7090902,7090902,KEN,Kenya
2022-06-02,7066004,7066004,7066004,KEN,Kenya
