date,value,value_high,value_low,iso_code,country_name
2022-02-28,1308930,1644568,1038857,LBN,Lebanon
2022-03-01,1295042,1646953,1030085,LBN,Lebanon
2022-03-02,1294836,1646953,1029752,LBN,Lebanon
2022-03-03,1294836,1646953,1029752,LBN,Lebanon
2022-03-04,1294836,1646953,1029752,LBN,Lebanon
2022-03-05,1295916,1647561,1038434,LBN,Lebanon
2022-03-06,1296363,1647561,1038411,LBN,Lebanon
2022-03-07,1296363,1647561,1038411,LBN,Lebanon
2022-03-08,1296363,1647561,1038411,LBN,Lebanon
2022-03-09,1296363,1647561,1038411,LBN,Lebanon
2022-03-10,1291104,1636276,1038411,LBN,Lebanon
2022-03-11,1295249,1639372,1044295,LBN,Lebanon
2022-03-12,1295249,1639372,1044295,LBN,Lebanon
2022-03-13,1295249,1639372,1044295,LBN,Lebanon
2022-03-14,1295249,1639372,1044295,LBN,Lebanon
2022-03-15,1295249,1639372,1044295,LBN,Lebanon
2022-03-16,1295249,1639372,1044295,LBN,Lebanon
2022-03-17,1295249,1639372,1044295,LBN,Lebanon
2022-03-18,1295249,1639372,1044295,LBN,Lebanon
2022-03-19,1295249,1639372,1044295,LBN,Lebanon
2022-03-20,1295249,1639372,1044295,LBN,Lebanon
2022-03-21,1307396,1653544,1051454,LBN,Lebanon
2022-03-22,1307396,1653544,1051454,LBN,Lebanon
2022-03-23,1310806,1663875,1051772,LBN,Lebanon
2022-03-24,1299344,1648396,1038154,LBN,Lebanon
2022-03-25,1299344,1648396,1038154,LBN,Lebanon
2022-03-26,1298361,1651136,1038094,LBN,Lebanon
2022-03-27,1298361,1651136,1038094,LBN,Lebanon
2022-03-28,1298361,1651136,1038094,LBN,Lebanon
2022-03-29,1298361,1651136,1038094,LBN,Lebanon
2022-03-30,1298361,1651136,1038094,LBN,Lebanon
2022-03-31,1299510,1651136,1038094,LBN,Lebanon
2022-04-01,1314343,1667002,1053506,LBN,Lebanon
2022-04-02,1314343,1667002,1053506,LBN,Lebanon
2022-04-03,1314343,1667002,1053506,LBN,Lebanon
2022-04-04,1314343,1667002,1053506,LBN,Lebanon
2022-04-05,1301753,1653116,1040592,LBN,Lebanon
2022-04-06,1301753,1653116,1040592,LBN,Lebanon
2022-04-07,1301753,1653116,1040592,LBN,Lebanon
2022-04-08,1301531,1650736,1040272,LBN,Lebanon
2022-04-09,1301531,1650736,1040272,LBN,Lebanon
2022-04-10,1301531,1650736,1040272,LBN,Lebanon
2022-04-11,1297306,1646294,1033492,LBN,Lebanon
2022-04-12,1297306,1646294,1033492,LBN,Lebanon
2022-04-13,1297306,1646294,1033492,LBN,Lebanon
2022-04-14,1299655,1647343,1034461,LBN,Lebanon
2022-04-15,1299655,1647343,1034461,LBN,Lebanon
2022-04-16,1299655,1647343,1034461,LBN,Lebanon
2022-04-17,1299655,1647343,1034461,LBN,Lebanon
2022-04-18,1300923,1648489,1034461,LBN,Lebanon
2022-04-19,1300923,1648489,1034461,LBN,Lebanon
2022-04-20,1300923,1648489,1034461,LBN,Lebanon
2022-04-21,1296056,1645697,1028497,LBN,Lebanon
2022-04-22,1296056,1645697,1028497,LBN,Lebanon
2022-04-23,1296056,1645697,1028497,LBN,Lebanon
2022-04-24,1296056,1645697,1028497,LBN,Lebanon
2022-04-25,1296056,1645697,1028497,LBN,Lebanon
2022-04-26,1300067,1643599,1046181,LBN,Lebanon
2022-04-27,1300067,1643599,1046181,LBN,Lebanon
2022-04-28,1300067,1643599,1046181,LBN,Lebanon
2022-04-29,1300067,1643599,1046181,LBN,Lebanon
2022-04-30,1300067,1643599,1046181,LBN,Lebanon
2022-05-01,1299361,1643243,1046075,LBN,Lebanon
2022-05-02,1299361,1643243,1046075,LBN,Lebanon
2022-05-03,1299361,1643243,1046075,LBN,Lebanon
2022-05-04,1299361,1643243,1046075,LBN,Lebanon
2022-05-05,1299361,1643243,1046075,LBN,Lebanon
2022-05-06,1324013,1663243,1061172,LBN,Lebanon
2022-05-07,1324013,1663243,1061172,LBN,Lebanon
2022-05-08,1324013,1663243,1061172,LBN,Lebanon
2022-05-09,1324013,1663243,1061172,LBN,Lebanon
2022-05-10,1324013,1663243,1061172,LBN,Lebanon
2022-05-11,1326598,1671405,1064114,LBN,Lebanon
2022-05-12,1326598,1671405,1064114,LBN,Lebanon
2022-05-13,1326598,1671405,1064114,LBN,Lebanon
2022-05-14,1326598,1671405,1064114,LBN,Lebanon
2022-05-15,1326598,1671405,1064114,LBN,Lebanon
2022-05-16,1326598,1671405,1064114,LBN,Lebanon
2022-05-17,1333929,1687210,1076437,LBN,Lebanon
2022-05-18,1333929,1687210,1076437,LBN,Lebanon
2022-05-19,1333929,1687210,1076437,LBN,Lebanon
2022-05-20,1333929,1687210,1076437,LBN,Lebanon
2022-05-21,1332552,1687210,1078327,LBN,Lebanon
2022-05-22,1332552,1687210,1078327,LBN,Lebanon
2022-05-23,1332552,1687210,1078327,LBN,Lebanon
2022-05-24,1335334,1688362,1085522,LBN,Lebanon
2022-05-25,1335334,1688362,1085522,LBN,Lebanon
2022-05-26,1335334,1688362,1085522,LBN,Lebanon
2022-05-27,1335334,1688362,1085522,LBN,Lebanon
2022-05-28,1335334,1688362,1085522,LBN,Lebanon
2022-05-29,1335334,1688362,1085522,LBN,Lebanon
2022-05-30,1335334,1688362,1085522,LBN,Lebanon
2022-05-31,1335334,1688362,1085522,LBN,Lebanon
2022-06-01,1328715,1684444,1070261,LBN,Lebanon
2022-06-02,1328457,1684444,1070261,LBN,Lebanon
2022-06-03,1328457,1684444,1070261,LBN,Lebanon
2022-06-04,1328457,1684444,1070261,LBN,Lebanon
2022-06-05,1328457,1684444,1070261,LBN,Lebanon
2022-06-06,1328457,1684444,1070261,LBN,Lebanon
2022-06-07,1328457,1684444,1070261,LBN,Lebanon
2022-06-08,1328457,1684444,1070261,LBN,Lebanon
2022-06-09,1328457,1684444,1070261,LBN,Lebanon
2022-06-10,1328457,1684444,1070261,LBN,Lebanon
2022-06-11,1326585,1670095,1060712,LBN,Lebanon
2022-06-12,1326585,1670095,1060712,LBN,Lebanon
2022-06-13,1326585,1670095,1060712,LBN,Lebanon
