date,value,value_high,value_low,iso_code,country_name
2022-02-28,3733909,4347353,3223639,LKA,Sri Lanka
2022-03-01,3821749,4423596,3316890,LKA,Sri Lanka
2022-03-02,3828505,4440184,3316890,LKA,Sri Lanka
2022-03-03,3828756,4440184,3316890,LKA,Sri Lanka
2022-03-04,3828505,4440184,3316890,LKA,Sri Lanka
2022-03-05,3844201,4455660,3326376,LKA,Sri Lanka
2022-03-06,3849058,4457332,3326376,LKA,Sri Lanka
2022-03-07,3853060,4487255,3327233,LKA,Sri Lanka
2022-03-08,3856845,4489917,3329179,LKA,Sri Lanka
2022-03-09,3834564,4438130,3326376,LKA,Sri Lanka
2022-03-10,3759671,4384863,3236243,LKA,Sri Lanka
2022-03-11,3759512,4400655,3209399,LKA,Sri Lanka
2022-03-12,3759512,4400655,3209399,LKA,Sri Lanka
2022-03-13,3759512,4400655,3209399,LKA,Sri Lanka
2022-03-14,3759907,4405358,3210278,LKA,Sri Lanka
2022-03-15,3644800,4296142,3081589,LKA,Sri Lanka
2022-03-16,3624492,4306330,3071443,LKA,Sri Lanka
2022-03-17,3624794,4306330,3066674,LKA,Sri Lanka
2022-03-18,3624794,4306330,3066674,LKA,Sri Lanka
2022-03-19,3631310,4309225,3069988,LKA,Sri Lanka
2022-03-20,3631868,4309265,3070701,LKA,Sri Lanka
2022-03-21,3658209,4327211,3092954,LKA,Sri Lanka
2022-03-22,3649900,4327937,3087536,LKA,Sri Lanka
2022-03-23,3655227,4404399,3119983,LKA,Sri Lanka
2022-03-24,3704478,4490436,3125624,LKA,Sri Lanka
2022-03-25,3713273,4489359,3135615,LKA,Sri Lanka
2022-03-26,3700622,4485548,3144317,LKA,Sri Lanka
2022-03-27,3699374,4485548,3121430,LKA,Sri Lanka
2022-03-28,3699374,4485548,3121430,LKA,Sri Lanka
2022-03-29,3696183,4485548,3121430,LKA,Sri Lanka
2022-03-30,3676501,4476320,3088478,LKA,Sri Lanka
2022-03-31,3641033,4452207,3054013,LKA,Sri Lanka
2022-04-01,3701927,4489877,3122905,LKA,Sri Lanka
2022-04-02,3704787,4471401,3126072,LKA,Sri Lanka
2022-04-03,3704787,4469153,3126072,LKA,Sri Lanka
2022-04-04,3701536,4469153,3125353,LKA,Sri Lanka
