date,value,value_high,value_low,iso_code,country_name
2022-02-28,4068777,4731512,3467632,MAR,Morocco
2022-03-01,4068155,4737020,3459401,MAR,Morocco
2022-03-02,4068006,4738376,3459401,MAR,Morocco
2022-03-03,4067339,4738376,3457616,MAR,Morocco
2022-03-04,4067339,4713757,3457616,MAR,Morocco
2022-03-05,4066061,4700368,3455981,MAR,Morocco
2022-03-06,4067205,4711529,3457616,MAR,Morocco
2022-03-07,4067205,4711529,3457616,MAR,Morocco
2022-03-08,4066061,4700368,3455981,MAR,Morocco
2022-03-09,4054954,4700368,3455981,MAR,Morocco
2022-03-10,4658410,5559768,3887666,MAR,Morocco
2022-03-11,4659163,5565955,3890100,MAR,Morocco
2022-03-12,4659163,5565955,3890100,MAR,Morocco
2022-03-13,4659163,5565955,3890100,MAR,Morocco
2022-03-14,4659163,5565955,3890100,MAR,Morocco
2022-03-15,4659163,5565955,3890100,MAR,Morocco
2022-03-16,4659163,5565955,3890100,MAR,Morocco
2022-03-17,4665295,5565955,3890100,MAR,Morocco
2022-03-18,4665295,5565955,3890100,MAR,Morocco
2022-03-19,4673946,5577677,3911917,MAR,Morocco
2022-03-20,4665295,5565955,3890100,MAR,Morocco
2022-03-21,4668079,5566342,3891184,MAR,Morocco
2022-03-22,4668079,5566342,3891184,MAR,Morocco
2022-03-23,4674212,5603424,3916482,MAR,Morocco
2022-03-24,4676016,5603424,3916482,MAR,Morocco
2022-03-25,4676016,5603424,3916482,MAR,Morocco
2022-03-26,4676016,5603424,3916482,MAR,Morocco
2022-03-27,4676016,5603424,3916482,MAR,Morocco
2022-03-28,4676016,5603424,3916482,MAR,Morocco
2022-03-29,4676016,5603424,3916482,MAR,Morocco
2022-03-30,4694025,5613589,3930439,MAR,Morocco
2022-03-31,4694025,5623609,3931559,MAR,Morocco
2022-04-01,4695227,5627326,3931559,MAR,Morocco
2022-04-02,4699606,5627326,3931573,MAR,Morocco
2022-04-03,4699606,5627326,3931573,MAR,Morocco
2022-04-04,4699606,5627326,3931573,MAR,Morocco
2022-04-05,4696852,5625234,3929145,MAR,Morocco
2022-04-06,4696852,5625234,3929489,MAR,Morocco
2022-04-07,4687077,5625234,3925217,MAR,Morocco
2022-04-08,4694148,5627556,3925217,MAR,Morocco
2022-04-09,4694148,5627556,3925217,MAR,Morocco
2022-04-10,4694148,5627556,3925217,MAR,Morocco
2022-04-11,4699427,5629026,3925216,MAR,Morocco
2022-04-12,4708417,5629026,3925216,MAR,Morocco
2022-04-13,4708417,5629026,3925216,MAR,Morocco
2022-04-14,4707536,5627556,3924922,MAR,Morocco
2022-04-15,4707536,5627556,3924922,MAR,Morocco
2022-04-16,4718098,5628738,3924924,MAR,Morocco
2022-04-17,4720246,5628738,3924924,MAR,Morocco
2022-04-18,4720246,5628738,3924924,MAR,Morocco
2022-04-19,4720246,5628738,3924924,MAR,Morocco
2022-04-20,4720246,5628738,3924924,MAR,Morocco
2022-04-21,4717543,5629414,3924924,MAR,Morocco
2022-04-22,4724170,5660028,3924924,MAR,Morocco
2022-04-23,4724170,5660028,3924924,MAR,Morocco
2022-04-24,4724170,5660028,3924924,MAR,Morocco
2022-04-25,4724170,5660028,3924924,MAR,Morocco
2022-04-26,4724573,5664572,3930004,MAR,Morocco
2022-04-27,4616787,5496501,3775671,MAR,Morocco
2022-04-28,4616787,5496501,3775671,MAR,Morocco
2022-04-29,4616883,5496501,3776977,MAR,Morocco
2022-04-30,4616883,5496501,3776977,MAR,Morocco
2022-05-01,4619990,5494193,3778607,MAR,Morocco
2022-05-02,4619990,5494193,3778607,MAR,Morocco
2022-05-03,4619990,5498964,3778607,MAR,Morocco
2022-05-04,4625007,5498964,3778607,MAR,Morocco
2022-05-05,4620478,5499743,3775806,MAR,Morocco
2022-05-06,4615715,5500176,3780077,MAR,Morocco
2022-05-07,4615715,5500176,3780077,MAR,Morocco
2022-05-08,4615715,5500176,3780077,MAR,Morocco
2022-05-09,4615715,5500176,3780077,MAR,Morocco
2022-05-10,4615715,5500176,3780077,MAR,Morocco
2022-05-11,4610198,5497348,3776444,MAR,Morocco
2022-05-12,4610198,5499900,3776444,MAR,Morocco
2022-05-13,4610198,5499900,3776444,MAR,Morocco
2022-05-14,4610198,5499900,3776444,MAR,Morocco
2022-05-15,4610198,5499900,3776444,MAR,Morocco
2022-05-16,4610198,5499900,3776444,MAR,Morocco
2022-05-17,4605651,5484597,3770390,MAR,Morocco
2022-05-18,4605651,5484597,3770390,MAR,Morocco
2022-05-19,4605651,5484597,3770390,MAR,Morocco
2022-05-20,4605651,5484597,3770390,MAR,Morocco
2022-05-21,4468712,5350195,3526021,MAR,Morocco
2022-05-22,4468712,5350195,3526021,MAR,Morocco
2022-05-23,4468712,5350195,3526021,MAR,Morocco
2022-05-24,4467239,5357134,3523188,MAR,Morocco
2022-05-25,4467239,5357134,3523188,MAR,Morocco
2022-05-26,4468599,5357134,3523188,MAR,Morocco
2022-05-27,4468599,5357134,3523188,MAR,Morocco
2022-05-28,4468599,5357134,3523188,MAR,Morocco
2022-05-29,4468599,5357134,3523188,MAR,Morocco
2022-05-30,4468599,5357134,3523188,MAR,Morocco
2022-05-31,4467239,5357134,3523188,MAR,Morocco
2022-06-01,4451249,5318242,3503709,MAR,Morocco
2022-06-02,4451249,5311740,3503709,MAR,Morocco
2022-06-03,4451249,5311740,3503709,MAR,Morocco
2022-06-04,4451249,5311740,3503709,MAR,Morocco
2022-06-05,4451249,5311740,3503709,MAR,Morocco
2022-06-06,4451249,5311740,3503709,MAR,Morocco
2022-06-07,4450594,5311740,3503710,MAR,Morocco
2022-06-08,4451811,5311740,3503710,MAR,Morocco
2022-06-09,4451811,5311740,3503710,MAR,Morocco
