date,value,value_high,value_low,iso_code,country_name
2022-02-28,12026072,12026072,12026072,MLI,Mali
2022-03-01,11998899,11998899,11998899,MLI,Mali
2022-03-02,11999797,11999797,11999797,MLI,Mali
2022-03-03,11934461,11934461,11934461,MLI,Mali
2022-03-04,11962995,11962995,11962995,MLI,Mali
2022-03-05,11864283,11864283,11864283,MLI,Mali
2022-03-06,11895961,11895961,11895961,MLI,Mali
2022-03-07,12037178,12037178,12037178,MLI,Mali
2022-03-08,12089236,12089236,12089236,MLI,Mali
2022-03-09,12035362,12035362,12035362,MLI,Mali
2022-03-10,12156024,12156024,12156024,MLI,Mali
2022-03-11,12127787,12127787,12127787,MLI,Mali
2022-03-12,12138427,12138427,12138427,MLI,Mali
2022-03-13,12203597,12203597,12203597,MLI,Mali
2022-03-14,12060005,12060005,12060005,MLI,Mali
2022-03-15,12258581,12258581,12258581,MLI,Mali
2022-03-16,12313471,12313471,12313471,MLI,Mali
2022-03-17,12353737,12353737,12353737,MLI,Mali
2022-03-18,12286508,12286508,12286508,MLI,Mali
2022-03-19,12380918,12380918,12380918,MLI,Mali
2022-03-20,12336729,12336729,12336729,MLI,Mali
2022-03-21,12334162,12334162,12334162,MLI,Mali
2022-03-22,12348604,12348604,12348604,MLI,Mali
2022-03-23,12318077,12318077,12318077,MLI,Mali
2022-03-24,12342086,12342086,12342086,MLI,Mali
2022-03-25,12192301,12192301,12192301,MLI,Mali
2022-03-26,12229849,12229849,12229849,MLI,Mali
2022-03-27,12314799,12314799,12314799,MLI,Mali
2022-03-28,12350278,12350278,12350278,MLI,Mali
2022-03-29,12312113,12312113,12312113,MLI,Mali
2022-03-30,12220700,12220700,12220700,MLI,Mali
2022-03-31,12230337,12230337,12230337,MLI,Mali
2022-04-01,12206387,12206387,12206387,MLI,Mali
2022-04-02,12298927,12298927,12298927,MLI,Mali
2022-04-03,12234132,12234132,12234132,MLI,Mali
2022-04-04,12556095,12556095,12556095,MLI,Mali
2022-04-05,12352298,12352298,12352298,MLI,Mali
2022-04-06,12544272,12544272,12544272,MLI,Mali
2022-04-07,12586941,12586941,12586941,MLI,Mali
2022-04-08,12632152,12632152,12632152,MLI,Mali
2022-04-09,12622433,12622433,12622433,MLI,Mali
2022-04-10,12598490,12598490,12598490,MLI,Mali
2022-04-11,12544180,12544180,12544180,MLI,Mali
2022-04-12,12582135,12582135,12582135,MLI,Mali
2022-04-13,12650108,12650108,12650108,MLI,Mali
2022-04-14,12630544,12630544,12630544,MLI,Mali
2022-04-15,12472855,12472855,12472855,MLI,Mali
2022-04-16,12530886,12530886,12530886,MLI,Mali
2022-04-17,12396642,12396642,12396642,MLI,Mali
2022-04-18,12135498,12135498,12135498,MLI,Mali
2022-04-19,12082098,12082098,12082098,MLI,Mali
2022-04-20,12033442,12033442,12033442,MLI,Mali
2022-04-21,12050962,12050962,12050962,MLI,Mali
2022-04-22,12045200,12045200,12045200,MLI,Mali
2022-04-23,11971346,11971346,11971346,MLI,Mali
2022-04-24,11974940,11974940,11974940,MLI,Mali
2022-04-25,11759427,11759427,11759427,MLI,Mali
2022-04-26,11685305,11685305,11685305,MLI,Mali
2022-04-27,11601424,11601424,11601424,MLI,Mali
2022-04-28,11393034,11393034,11393034,MLI,Mali
2022-04-29,11373878,11373878,11373878,MLI,Mali
2022-04-30,11392702,11392702,11392702,MLI,Mali
2022-05-01,11441874,11441874,11441874,MLI,Mali
2022-05-02,11357127,11357127,11357127,MLI,Mali
2022-05-03,11025736,11025736,11025736,MLI,Mali
2022-05-04,10752798,10752798,10752798,MLI,Mali
2022-05-05,10846340,10846340,10846340,MLI,Mali
2022-05-06,10753250,10753250,10753250,MLI,Mali
2022-05-07,10586033,10586033,10586033,MLI,Mali
2022-05-08,10399819,10399819,10399819,MLI,Mali
2022-05-09,10379200,10379200,10379200,MLI,Mali
2022-05-10,10290978,10290978,10290978,MLI,Mali
2022-05-11,10265763,10265763,10265763,MLI,Mali
2022-05-12,10198324,10198324,10198324,MLI,Mali
2022-05-13,10153341,10153341,10153341,MLI,Mali
2022-05-14,10149260,10149260,10149260,MLI,Mali
2022-05-15,10089687,10089687,10089687,MLI,Mali
2022-05-16,9843444,9843444,9843444,MLI,Mali
2022-05-17,9870972,9870972,9870972,MLI,Mali
2022-05-18,9921710,9921710,9921710,MLI,Mali
2022-05-19,9954673,9954673,9954673,MLI,Mali
2022-05-20,9949804,9949804,9949804,MLI,Mali
2022-05-21,9960912,9960912,9960912,MLI,Mali
2022-05-22,9963459,9963459,9963459,MLI,Mali
2022-05-23,10044055,10044055,10044055,MLI,Mali
2022-05-24,10077465,10077465,10077465,MLI,Mali
2022-05-25,10458996,10458996,10458996,MLI,Mali
2022-05-26,10579972,10579972,10579972,MLI,Mali
2022-05-27,10798354,10798354,10798354,MLI,Mali
2022-05-28,11022006,11022006,11022006,MLI,Mali
2022-05-29,11022323,11022323,11022323,MLI,Mali
2022-05-30,11031085,11031085,11031085,MLI,Mali
2022-05-31,11039449,11039449,11039449,MLI,Mali
2022-06-01,11024451,11024451,11024451,MLI,Mali
2022-06-02,11214656,11214656,11214656,MLI,Mali
