date,value,value_high,value_low,iso_code,country_name
2022-02-28,14847241,17149013,12848539,MMR,Myanmar
2022-03-01,14863807,17093249,12863182,MMR,Myanmar
2022-03-02,14874229,17099825,12882356,MMR,Myanmar
2022-03-03,15018962,17286836,12996172,MMR,Myanmar
2022-03-04,15186786,17429222,13002795,MMR,Myanmar
2022-03-05,15521897,17932261,13226505,MMR,Myanmar
2022-03-06,15886366,18419555,13421893,MMR,Myanmar
2022-03-07,15867362,18414398,13413241,MMR,Myanmar
2022-03-08,15870212,18415329,13424343,MMR,Myanmar
2022-03-09,15921949,18527351,13439749,MMR,Myanmar
2022-03-10,14518297,16280456,12698716,MMR,Myanmar
2022-03-11,14403757,16125139,12553635,MMR,Myanmar
2022-03-12,14403757,16112874,12554439,MMR,Myanmar
2022-03-13,14402931,16112874,12554439,MMR,Myanmar
2022-03-14,14402125,16112874,12551970,MMR,Myanmar
2022-03-15,14396005,16105855,12541306,MMR,Myanmar
2022-03-16,14399833,16112353,12549649,MMR,Myanmar
2022-03-17,14393356,16105855,12542488,MMR,Myanmar
2022-03-18,14394868,16105855,12542488,MMR,Myanmar
2022-03-19,14401776,16112353,12555295,MMR,Myanmar
2022-03-20,14406949,16112353,12583125,MMR,Myanmar
2022-03-21,14388270,16087139,12535705,MMR,Myanmar
2022-03-22,14380874,16087139,12535705,MMR,Myanmar
2022-03-23,15166030,17473166,12924007,MMR,Myanmar
2022-03-24,15195621,17496298,12949863,MMR,Myanmar
2022-03-25,15197270,17509712,12950362,MMR,Myanmar
2022-03-26,15197127,17498215,12946043,MMR,Myanmar
2022-03-27,15200636,17503295,12929616,MMR,Myanmar
2022-03-28,15207174,17510043,12927425,MMR,Myanmar
2022-03-29,15197345,17505541,12913663,MMR,Myanmar
2022-03-30,15174242,17439450,12883364,MMR,Myanmar
2022-03-31,15179595,17487137,12905561,MMR,Myanmar
2022-04-01,16221946,18994431,14042310,MMR,Myanmar
2022-04-02,16336314,19160949,14112850,MMR,Myanmar
2022-04-03,16339971,19170701,14137335,MMR,Myanmar
2022-04-04,16312105,19111131,14119500,MMR,Myanmar
2022-04-05,16401263,19284911,14250241,MMR,Myanmar
2022-04-06,16346601,19189739,14206798,MMR,Myanmar
2022-04-07,16346601,19189739,14206798,MMR,Myanmar
2022-04-08,16360151,19182554,14228248,MMR,Myanmar
2022-04-09,16266987,19079764,14141649,MMR,Myanmar
2022-04-10,16269182,19074492,14120433,MMR,Myanmar
2022-04-11,16007399,18682163,13980046,MMR,Myanmar
2022-04-12,16038862,18748602,13988455,MMR,Myanmar
2022-04-13,16068323,18801059,13998247,MMR,Myanmar
2022-04-14,16076847,18807268,14001580,MMR,Myanmar
2022-04-15,15982509,18652310,13970203,MMR,Myanmar
2022-04-16,15978371,18621927,13968484,MMR,Myanmar
2022-04-17,15982393,18600197,13979030,MMR,Myanmar
2022-04-18,15962187,18543361,13979030,MMR,Myanmar
2022-04-19,15964378,18543847,13984965,MMR,Myanmar
2022-04-20,15978500,18555587,13997013,MMR,Myanmar
2022-04-21,16004767,18580353,13989099,MMR,Myanmar
