date,value,value_high,value_low,iso_code,country_name
2022-02-28,48167839,56425503,40738424,PAK,Pakistan
2022-03-01,48108029,56561067,40556563,PAK,Pakistan
2022-03-02,47585120,56328553,40258732,PAK,Pakistan
2022-03-03,47573231,56328553,40258732,PAK,Pakistan
2022-03-04,47138637,55712289,40097176,PAK,Pakistan
2022-03-05,47324664,55648261,40446588,PAK,Pakistan
2022-03-06,47356056,55648261,40404969,PAK,Pakistan
2022-03-07,47802056,56348119,40813219,PAK,Pakistan
2022-03-08,47689428,56389108,40533637,PAK,Pakistan
2022-03-09,47961620,56424974,40756769,PAK,Pakistan
2022-03-10,49898938,59131127,41704246,PAK,Pakistan
2022-03-11,50041331,59234474,41961509,PAK,Pakistan
2022-03-12,50219751,59262405,41961509,PAK,Pakistan
2022-03-13,50220033,59262405,41962458,PAK,Pakistan
2022-03-14,50220033,59262405,41962458,PAK,Pakistan
2022-03-15,51143400,59900902,42440292,PAK,Pakistan
2022-03-16,51242937,59935389,42397822,PAK,Pakistan
2022-03-17,51442806,60610420,42898984,PAK,Pakistan
2022-03-18,51527231,60805921,43048187,PAK,Pakistan
2022-03-19,51527231,60805921,43048187,PAK,Pakistan
2022-03-20,51527231,60805921,43048187,PAK,Pakistan
2022-03-21,51779884,60073752,43158592,PAK,Pakistan
2022-03-22,51779884,60073752,43157447,PAK,Pakistan
2022-03-23,51278311,60212107,42570557,PAK,Pakistan
2022-03-24,51057298,60048059,42468376,PAK,Pakistan
2022-03-25,51187973,60178207,42571655,PAK,Pakistan
2022-03-26,51248488,60222484,42597902,PAK,Pakistan
2022-03-27,51311428,60220458,42585204,PAK,Pakistan
2022-03-28,50994499,59879519,42426212,PAK,Pakistan
2022-03-29,50994499,59879519,42573765,PAK,Pakistan
2022-03-30,51042699,59890044,42589759,PAK,Pakistan
2022-03-31,51360425,59979121,42697889,PAK,Pakistan
2022-04-01,51164684,60030273,42657957,PAK,Pakistan
2022-04-02,51113074,59921429,42597751,PAK,Pakistan
2022-04-03,51118998,59921429,42597751,PAK,Pakistan
2022-04-04,50966182,59746516,42537225,PAK,Pakistan
2022-04-05,51281983,60249620,42686383,PAK,Pakistan
2022-04-06,51230747,60120657,42682532,PAK,Pakistan
2022-04-07,51214764,60044018,42681387,PAK,Pakistan
2022-04-08,51242439,60120657,42682532,PAK,Pakistan
2022-04-09,51234850,60120657,42682532,PAK,Pakistan
2022-04-10,51230267,60048891,42692596,PAK,Pakistan
2022-04-11,51153384,60071561,42707945,PAK,Pakistan
2022-04-12,51149583,60063336,42702800,PAK,Pakistan
2022-04-13,51271711,60157582,42736784,PAK,Pakistan
2022-04-14,52173165,62150737,43448135,PAK,Pakistan
2022-04-15,52173165,62150737,43448135,PAK,Pakistan
2022-04-16,52171238,62150737,43448135,PAK,Pakistan
2022-04-17,52232886,62239735,43482450,PAK,Pakistan
2022-04-18,52232886,62239735,43482450,PAK,Pakistan
2022-04-19,52176823,62150737,43448135,PAK,Pakistan
2022-04-20,52151895,62191239,43456494,PAK,Pakistan
