date,value,value_high,value_low,iso_code,country_name
2022-02-28,16739659,19633929,13958309,PHL,Philippines
2022-03-01,16962414,19935848,14050640,PHL,Philippines
2022-03-02,16977116,19967808,14058376,PHL,Philippines
2022-03-03,17006715,19996452,14085467,PHL,Philippines
2022-03-04,16992716,19967808,14076802,PHL,Philippines
2022-03-05,16649843,19587055,13722825,PHL,Philippines
2022-03-06,16649843,19587055,13722825,PHL,Philippines
2022-03-07,16655545,19601713,13732445,PHL,Philippines
2022-03-08,16664531,19605241,13730116,PHL,Philippines
2022-03-09,16665459,19615749,13708764,PHL,Philippines
2022-03-10,16634576,19598385,13615781,PHL,Philippines
2022-03-11,16409077,19370301,13418341,PHL,Philippines
2022-03-12,16411896,19370301,13412458,PHL,Philippines
2022-03-13,16352986,19307231,13376343,PHL,Philippines
2022-03-14,16345709,19307231,13376343,PHL,Philippines
2022-03-15,16357420,19338880,13466279,PHL,Philippines
2022-03-16,16329778,19217592,13440082,PHL,Philippines
2022-03-17,16325981,19202878,13420699,PHL,Philippines
2022-03-18,16325981,19202878,13420699,PHL,Philippines
2022-03-19,16295895,19132178,13350218,PHL,Philippines
2022-03-20,16295895,19132178,13350218,PHL,Philippines
2022-03-21,16317902,19173951,13378727,PHL,Philippines
2022-03-22,16332332,19259730,13411263,PHL,Philippines
2022-03-23,16490875,19616675,13554924,PHL,Philippines
2022-03-24,16424358,19551781,13465350,PHL,Philippines
2022-03-25,16428320,19561294,13465350,PHL,Philippines
2022-03-26,16437400,19556479,13471627,PHL,Philippines
2022-03-27,16595977,19923367,13538400,PHL,Philippines
2022-03-28,16663232,19957459,13567056,PHL,Philippines
2022-03-29,16736253,20036888,13621305,PHL,Philippines
2022-03-30,16769518,20230107,13621305,PHL,Philippines
2022-03-31,16747457,20132325,13610057,PHL,Philippines
2022-04-01,16782024,20216542,13559260,PHL,Philippines
2022-04-02,16797315,20241890,13561812,PHL,Philippines
2022-04-03,16726180,20184021,13521191,PHL,Philippines
2022-04-04,16720417,20167569,13501952,PHL,Philippines
2022-04-05,16642476,20121675,13470118,PHL,Philippines
2022-04-06,16647473,20230756,13526035,PHL,Philippines
2022-04-07,16725989,20330547,13560968,PHL,Philippines
2022-04-08,16732229,20326719,13560968,PHL,Philippines
2022-04-09,16711696,20311723,13560968,PHL,Philippines
2022-04-10,16698215,20301209,13557404,PHL,Philippines
2022-04-11,16640767,20236495,13538270,PHL,Philippines
2022-04-12,16514113,19909592,13518236,PHL,Philippines
2022-04-13,16501449,19905851,13518236,PHL,Philippines
2022-04-14,16274208,19685894,13354402,PHL,Philippines
2022-04-15,16318846,19770163,13387562,PHL,Philippines
2022-04-16,16283779,19770163,13387562,PHL,Philippines
2022-04-17,16283779,19770163,13387562,PHL,Philippines
2022-04-18,16335865,19804736,13399588,PHL,Philippines
2022-04-19,16335865,19804736,13400411,PHL,Philippines
2022-04-20,16329518,19863157,13415906,PHL,Philippines
2022-04-21,16283985,19830850,13386099,PHL,Philippines
2022-04-22,16283854,19830850,13386099,PHL,Philippines
2022-04-23,16262908,19827947,13386099,PHL,Philippines
2022-04-24,16262908,19827947,13386099,PHL,Philippines
2022-04-25,16254282,19815510,13367717,PHL,Philippines
2022-04-26,16108747,19672011,13256723,PHL,Philippines
2022-04-27,16109545,19687957,13256723,PHL,Philippines
2022-04-28,16147530,19702616,13336312,PHL,Philippines
2022-04-29,15498743,18540429,13040157,PHL,Philippines
2022-04-30,15443874,18547167,13017558,PHL,Philippines
2022-05-01,15319943,18463983,12869193,PHL,Philippines
2022-05-02,15326550,18476854,12856319,PHL,Philippines
2022-05-03,15321960,18483670,12853793,PHL,Philippines
2022-05-04,15321960,18483670,12853793,PHL,Philippines
2022-05-05,15288064,18424023,12845763,PHL,Philippines
2022-05-06,15230170,18515577,12708209,PHL,Philippines
2022-05-07,15243388,18518329,12710132,PHL,Philippines
2022-05-08,15240333,18508436,12710132,PHL,Philippines
2022-05-09,15238883,18508541,12710132,PHL,Philippines
2022-05-10,15238883,18508541,12708945,PHL,Philippines
2022-05-11,15269961,18573025,12701128,PHL,Philippines
2022-05-12,15288928,18616328,12744981,PHL,Philippines
2022-05-13,15263873,18573025,12702174,PHL,Philippines
2022-05-14,15263873,18573025,12702174,PHL,Philippines
2022-05-15,15269845,18639097,12701969,PHL,Philippines
2022-05-16,15257821,18603385,12681682,PHL,Philippines
2022-05-17,15208031,18507088,12658934,PHL,Philippines
2022-05-18,15220016,18501585,12688294,PHL,Philippines
2022-05-19,15220016,18501585,12688294,PHL,Philippines
2022-05-20,15200094,18472414,12686371,PHL,Philippines
2022-05-21,15178125,18495795,12673609,PHL,Philippines
2022-05-22,15175440,18470902,12668145,PHL,Philippines
2022-05-23,15170415,18451332,12679696,PHL,Philippines
2022-05-24,15152276,18420096,12624154,PHL,Philippines
2022-05-25,15166199,18437491,12624154,PHL,Philippines
2022-05-26,15165962,18437491,12624585,PHL,Philippines
2022-05-27,15165962,18437491,12624585,PHL,Philippines
2022-05-28,15165962,18437491,12624585,PHL,Philippines
2022-05-29,15165962,18437491,12624585,PHL,Philippines
2022-05-30,15165962,18437491,12624585,PHL,Philippines
2022-05-31,15165962,18437491,12624585,PHL,Philippines
2022-06-01,15588103,18911312,13075812,PHL,Philippines
2022-06-02,15696540,19107248,13123285,PHL,Philippines
