date,value,value_high,value_low,iso_code,country_name
2022-02-28,1914422,2179027,1597924,PNG,Papua New Guinea
2022-03-01,1921535,2193922,1603099,PNG,Papua New Guinea
2022-03-02,1921535,2193922,1603099,PNG,Papua New Guinea
2022-03-03,1921535,2193922,1603099,PNG,Papua New Guinea
2022-03-04,1886256,2168391,1608751,PNG,Papua New Guinea
2022-03-05,1894188,2173431,1611285,PNG,Papua New Guinea
2022-03-06,1894188,2173431,1611285,PNG,Papua New Guinea
2022-03-07,1894188,2173431,1611285,PNG,Papua New Guinea
2022-03-08,1894188,2173431,1611285,PNG,Papua New Guinea
2022-03-09,1894188,2173431,1611285,PNG,Papua New Guinea
2022-03-10,1075534,1569246,846354,PNG,Papua New Guinea
2022-03-11,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-12,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-13,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-14,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-15,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-16,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-17,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-18,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-19,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-20,1078649,1572552,848875,PNG,Papua New Guinea
2022-03-21,1079254,1572421,849067,PNG,Papua New Guinea
2022-03-22,1079254,1572421,849067,PNG,Papua New Guinea
2022-03-23,1079254,1572421,849067,PNG,Papua New Guinea
2022-03-24,1080133,1575087,850583,PNG,Papua New Guinea
2022-03-25,1080133,1575087,850583,PNG,Papua New Guinea
2022-03-26,1080133,1575087,850583,PNG,Papua New Guinea
2022-03-27,1080133,1575087,850583,PNG,Papua New Guinea
2022-03-28,1080133,1575087,850583,PNG,Papua New Guinea
2022-03-29,1080133,1575087,850583,PNG,Papua New Guinea
2022-03-30,1080133,1575087,850583,PNG,Papua New Guinea
2022-03-31,1080133,1575087,850583,PNG,Papua New Guinea
2022-04-01,1079952,1575147,850082,PNG,Papua New Guinea
2022-04-02,1079952,1575147,850082,PNG,Papua New Guinea
2022-04-03,1079952,1575147,850082,PNG,Papua New Guinea
2022-04-04,1079952,1575147,850082,PNG,Papua New Guinea
2022-04-05,1085190,1579052,853809,PNG,Papua New Guinea
2022-04-06,1085190,1579052,853809,PNG,Papua New Guinea
2022-04-07,1085190,1579052,853809,PNG,Papua New Guinea
2022-04-08,1085190,1579052,853809,PNG,Papua New Guinea
2022-04-09,1085190,1579052,853809,PNG,Papua New Guinea
2022-04-10,1085190,1579052,853809,PNG,Papua New Guinea
2022-04-11,1087595,1582581,854123,PNG,Papua New Guinea
2022-04-12,1087595,1582581,854123,PNG,Papua New Guinea
2022-04-13,1087595,1582581,854123,PNG,Papua New Guinea
2022-04-14,1088653,1580930,854583,PNG,Papua New Guinea
2022-04-15,1088653,1580930,854583,PNG,Papua New Guinea
2022-04-16,1088653,1580930,854583,PNG,Papua New Guinea
2022-04-17,1088653,1580930,854583,PNG,Papua New Guinea
2022-04-18,1088653,1580930,854583,PNG,Papua New Guinea
2022-04-19,1088653,1580930,854583,PNG,Papua New Guinea
2022-04-20,1088653,1580930,854583,PNG,Papua New Guinea
2022-04-21,1091134,1582099,855092,PNG,Papua New Guinea
2022-04-22,1091134,1582099,855092,PNG,Papua New Guinea
2022-04-23,1091134,1582099,855092,PNG,Papua New Guinea
