date,value,value_high,value_low,iso_code,country_name
2022-02-28,10461671,10461671,10461671,SYR,Syria
2022-03-01,10348392,10348392,10348392,SYR,Syria
2022-03-02,10280477,10280477,10280477,SYR,Syria
2022-03-03,10266071,10266071,10266071,SYR,Syria
2022-03-04,10303026,10303026,10303026,SYR,Syria
2022-03-05,10385923,10385923,10385923,SYR,Syria
2022-03-06,10437342,10437342,10437342,SYR,Syria
2022-03-07,10494316,10494316,10494316,SYR,Syria
2022-03-08,10590957,10590957,10590957,SYR,Syria
2022-03-09,10568599,10568599,10568599,SYR,Syria
2022-03-10,10540422,10540422,10540422,SYR,Syria
2022-03-11,10503178,10503178,10503178,SYR,Syria
2022-03-12,10631271,10631271,10631271,SYR,Syria
2022-03-13,10682446,10682446,10682446,SYR,Syria
2022-03-14,10794206,10794206,10794206,SYR,Syria
2022-03-15,10739014,10739014,10739014,SYR,Syria
2022-03-16,10821517,10821517,10821517,SYR,Syria
2022-03-17,10757083,10757083,10757083,SYR,Syria
2022-03-18,10743378,10743378,10743378,SYR,Syria
2022-03-19,10778194,10778194,10778194,SYR,Syria
2022-03-20,10757149,10757149,10757149,SYR,Syria
2022-03-21,10835653,10835653,10835653,SYR,Syria
2022-03-22,10858480,10858480,10858480,SYR,Syria
2022-03-23,10824894,10824894,10824894,SYR,Syria
2022-03-24,10837170,10837170,10837170,SYR,Syria
2022-03-25,10941123,10941123,10941123,SYR,Syria
2022-03-26,10998862,10998862,10998862,SYR,Syria
2022-03-27,10848567,10848567,10848567,SYR,Syria
2022-03-28,10862596,10862596,10862596,SYR,Syria
2022-03-29,10833650,10833650,10833650,SYR,Syria
2022-03-30,10887085,10887085,10887085,SYR,Syria
2022-03-31,10742643,10742643,10742643,SYR,Syria
2022-04-01,10804454,10804454,10804454,SYR,Syria
2022-04-02,10866004,10866004,10866004,SYR,Syria
2022-04-03,10866004,10866004,10866004,SYR,Syria
2022-04-04,10855452,10855452,10855452,SYR,Syria
2022-04-05,10810644,10810644,10810644,SYR,Syria
2022-04-06,10793773,10793773,10793773,SYR,Syria
2022-04-07,10738534,10738534,10738534,SYR,Syria
2022-04-08,10755356,10755356,10755356,SYR,Syria
2022-04-09,10632731,10632731,10632731,SYR,Syria
2022-04-10,10453167,10453167,10453167,SYR,Syria
2022-04-11,10379247,10379247,10379247,SYR,Syria
2022-04-12,10341949,10341949,10341949,SYR,Syria
2022-04-13,10156077,10156077,10156077,SYR,Syria
2022-04-14,10096699,10096699,10096699,SYR,Syria
2022-04-15,9986248,9986248,9986248,SYR,Syria
2022-04-16,9855352,9855352,9855352,SYR,Syria
2022-04-17,9765874,9765874,9765874,SYR,Syria
2022-04-18,9553955,9553955,9553955,SYR,Syria
2022-04-19,9350607,9350607,9350607,SYR,Syria
2022-04-20,9319156,9319156,9319156,SYR,Syria
2022-04-21,9253315,9253315,9253315,SYR,Syria
2022-04-22,9144253,9144253,9144253,SYR,Syria
2022-04-23,9022645,9022645,9022645,SYR,Syria
2022-04-24,8928046,8928046,8928046,SYR,Syria
2022-04-25,8736884,8736884,8736884,SYR,Syria
2022-04-26,8513491,8513491,8513491,SYR,Syria
2022-04-27,8640784,8640784,8640784,SYR,Syria
2022-04-28,8558110,8558110,8558110,SYR,Syria
2022-04-29,8515595,8515595,8515595,SYR,Syria
2022-04-30,8546561,8546561,8546561,SYR,Syria
2022-05-01,8550938,8550938,8550938,SYR,Syria
2022-05-02,8550264,8550264,8550264,SYR,Syria
2022-05-03,8565554,8565554,8565554,SYR,Syria
2022-05-04,8562422,8562422,8562422,SYR,Syria
2022-05-05,8552224,8552224,8552224,SYR,Syria
2022-05-06,8556566,8556566,8556566,SYR,Syria
2022-05-07,8558463,8558463,8558463,SYR,Syria
2022-05-08,8558463,8558463,8558463,SYR,Syria
2022-05-09,8137736,8137736,8137736,SYR,Syria
2022-05-10,8044820,8044820,8044820,SYR,Syria
2022-05-11,8077057,8077057,8077057,SYR,Syria
2022-05-12,8024739,8024739,8024739,SYR,Syria
2022-05-13,7958707,7958707,7958707,SYR,Syria
2022-05-14,7983795,7983795,7983795,SYR,Syria
2022-05-15,8036265,8036265,8036265,SYR,Syria
2022-05-16,8113392,8113392,8113392,SYR,Syria
2022-05-17,8283603,8283603,8283603,SYR,Syria
2022-05-18,8536108,8536108,8536108,SYR,Syria
2022-05-19,8682561,8682561,8682561,SYR,Syria
2022-05-20,8763431,8763431,8763431,SYR,Syria
2022-05-21,8715585,8715585,8715585,SYR,Syria
2022-05-22,8751752,8751752,8751752,SYR,Syria
2022-05-23,8878883,8878883,8878883,SYR,Syria
2022-05-24,8952271,8952271,8952271,SYR,Syria
2022-05-25,9116400,9116400,9116400,SYR,Syria
2022-05-26,9170651,9170651,9170651,SYR,Syria
2022-05-27,9317389,9317389,9317389,SYR,Syria
2022-05-28,9280161,9280161,9280161,SYR,Syria
2022-05-29,9272115,9272115,9272115,SYR,Syria
2022-05-30,9368960,9368960,9368960,SYR,Syria
2022-05-31,9336391,9336391,9336391,SYR,Syria
2022-06-01,9334898,9334898,9334898,SYR,Syria
2022-06-02,9329579,9329579,9329579,SYR,Syria
