date,value,value_high,value_low,iso_code,country_name
2022-02-28,2102389,2404929,1795806,TGO,Togo
2022-03-01,2108037,2399980,1799996,TGO,Togo
2022-03-02,2108037,2399980,1799996,TGO,Togo
2022-03-03,2108037,2399980,1799996,TGO,Togo
2022-03-04,2108037,2399980,1799996,TGO,Togo
2022-03-05,2112703,2423660,1800302,TGO,Togo
2022-03-06,2112574,2416502,1800302,TGO,Togo
2022-03-07,2112574,2416502,1800302,TGO,Togo
2022-03-08,2042755,2306003,1782608,TGO,Togo
2022-03-09,2042755,2306003,1782608,TGO,Togo
2022-03-10,2042755,2306003,1782608,TGO,Togo
2022-03-11,2067647,2350541,1815717,TGO,Togo
2022-03-12,2067647,2350541,1815717,TGO,Togo
2022-03-13,2067647,2350541,1815717,TGO,Togo
2022-03-14,2067647,2350541,1815717,TGO,Togo
2022-03-15,2067647,2350541,1815717,TGO,Togo
2022-03-16,2067647,2350541,1815717,TGO,Togo
2022-03-17,2067647,2350541,1815717,TGO,Togo
2022-03-18,2067647,2350541,1815717,TGO,Togo
2022-03-19,2067647,2350541,1815717,TGO,Togo
2022-03-20,2067647,2350541,1815717,TGO,Togo
2022-03-21,2067363,2346696,1823396,TGO,Togo
2022-03-22,2067363,2346696,1823396,TGO,Togo
2022-03-23,2067363,2340281,1823174,TGO,Togo
2022-03-24,2085915,2367192,1826874,TGO,Togo
2022-03-25,2086877,2368089,1826545,TGO,Togo
2022-03-26,2086877,2368089,1826545,TGO,Togo
2022-03-27,2086877,2368089,1826545,TGO,Togo
2022-03-28,2083613,2363723,1822259,TGO,Togo
2022-03-29,2083613,2363723,1822259,TGO,Togo
2022-03-30,2083613,2363723,1822259,TGO,Togo
2022-03-31,2086877,2368089,1826545,TGO,Togo
2022-04-01,2088897,2377049,1821874,TGO,Togo
2022-04-02,2088018,2373349,1817085,TGO,Togo
2022-04-03,2087693,2373349,1817085,TGO,Togo
2022-04-04,2087693,2373349,1817085,TGO,Togo
2022-04-05,2119468,2386714,1856500,TGO,Togo
2022-04-06,2119468,2386714,1856500,TGO,Togo
2022-04-07,2121073,2389101,1859737,TGO,Togo
2022-04-08,2121073,2389101,1859737,TGO,Togo
2022-04-09,2121073,2389101,1859737,TGO,Togo
2022-04-10,2121073,2389101,1859737,TGO,Togo
2022-04-11,2129810,2394169,1863057,TGO,Togo
2022-04-12,2129810,2394169,1863057,TGO,Togo
2022-04-13,2129810,2392628,1863057,TGO,Togo
2022-04-14,2125358,2382508,1862758,TGO,Togo
2022-04-15,2125623,2402625,1862758,TGO,Togo
2022-04-16,2125623,2402625,1862758,TGO,Togo
2022-04-17,2125623,2402625,1862758,TGO,Togo
2022-04-18,2125623,2402625,1862758,TGO,Togo
2022-04-19,2125623,2402625,1862758,TGO,Togo
2022-04-20,2124807,2402625,1856002,TGO,Togo
2022-04-21,2126760,2403043,1856671,TGO,Togo
2022-04-22,2120049,2402888,1851118,TGO,Togo
2022-04-23,2120049,2402888,1851118,TGO,Togo
2022-04-24,2126760,2403043,1856671,TGO,Togo
2022-04-25,2115517,2397978,1848812,TGO,Togo
2022-04-26,2110230,2374715,1844067,TGO,Togo
2022-04-27,2110230,2374715,1844067,TGO,Togo
2022-04-28,2110230,2374715,1844067,TGO,Togo
2022-04-29,2112673,2374715,1845841,TGO,Togo
2022-04-30,2112737,2374715,1845841,TGO,Togo
2022-05-01,2114111,2389760,1845987,TGO,Togo
2022-05-02,2114111,2389760,1845987,TGO,Togo
2022-05-03,2114111,2389760,1845987,TGO,Togo
2022-05-04,2114111,2389760,1845987,TGO,Togo
2022-05-05,2112563,2389760,1845987,TGO,Togo
2022-05-06,2108889,2377477,1844875,TGO,Togo
2022-05-07,2108889,2377477,1844875,TGO,Togo
2022-05-08,2108034,2366800,1842593,TGO,Togo
2022-05-09,2108034,2366800,1842593,TGO,Togo
2022-05-10,2108034,2366800,1842593,TGO,Togo
2022-05-11,2107693,2377360,1842444,TGO,Togo
2022-05-12,2107693,2377360,1842444,TGO,Togo
2022-05-13,2107693,2377360,1842444,TGO,Togo
2022-05-14,2107693,2377360,1842444,TGO,Togo
2022-05-15,2106994,2377360,1842444,TGO,Togo
2022-05-16,2106432,2375604,1842444,TGO,Togo
2022-05-17,2107235,2354568,1843844,TGO,Togo
2022-05-18,2108591,2360777,1843844,TGO,Togo
2022-05-19,2115957,2372722,1845162,TGO,Togo
2022-05-20,2114667,2372722,1845162,TGO,Togo
2022-05-21,2114382,2374422,1843738,TGO,Togo
2022-05-22,2114584,2374422,1843738,TGO,Togo
2022-05-23,2115814,2374422,1851157,TGO,Togo
2022-05-24,2105248,2368284,1839659,TGO,Togo
2022-05-25,2106613,2370832,1841827,TGO,Togo
2022-05-26,2109428,2386447,1841827,TGO,Togo
2022-05-27,2109428,2387327,1841827,TGO,Togo
2022-05-28,2110335,2387327,1841827,TGO,Togo
2022-05-29,2115207,2393195,1844631,TGO,Togo
2022-05-30,2110335,2387327,1841827,TGO,Togo
2022-05-31,2112629,2387327,1841827,TGO,Togo
2022-06-01,2078268,2333240,1812238,TGO,Togo
2022-06-02,2078268,2333240,1812238,TGO,Togo
2022-06-03,2078268,2333240,1812238,TGO,Togo
2022-06-04,2078268,2333240,1812238,TGO,Togo
2022-06-05,2076829,2330827,1812238,TGO,Togo
2022-06-06,2071990,2330827,1812238,TGO,Togo
2022-06-07,2067309,2330827,1806099,TGO,Togo
2022-06-08,2100174,2374567,1817478,TGO,Togo
2022-06-09,2099125,2374567,1815376,TGO,Togo
2022-06-10,2099125,2374567,1815376,TGO,Togo
2022-06-11,2055297,2341252,1787853,TGO,Togo
2022-06-12,2055066,2340166,1787853,TGO,Togo
2022-06-13,2053596,2340166,1787853,TGO,Togo
