date,value,value_high,value_low,iso_code,country_name
2022-02-28,2962490,3442526,2418762,TJK,Tajikistan
2022-03-01,2964777,3442553,2415165,TJK,Tajikistan
2022-03-02,2964777,3442553,2415165,TJK,Tajikistan
2022-03-03,2964777,3442553,2415165,TJK,Tajikistan
2022-03-04,2965139,3442553,2415165,TJK,Tajikistan
2022-03-05,2965139,3442526,2415165,TJK,Tajikistan
2022-03-06,2973875,3442526,2415165,TJK,Tajikistan
2022-03-07,2973875,3442526,2415165,TJK,Tajikistan
2022-03-08,2973875,3442526,2415165,TJK,Tajikistan
2022-03-09,2973875,3442526,2415165,TJK,Tajikistan
2022-03-10,3006033,3453663,2488387,TJK,Tajikistan
2022-03-11,3006033,3453663,2488387,TJK,Tajikistan
2022-03-12,3006817,3453663,2488387,TJK,Tajikistan
2022-03-13,3006817,3453663,2488387,TJK,Tajikistan
2022-03-14,3006817,3453663,2488387,TJK,Tajikistan
2022-03-15,3006817,3453663,2488387,TJK,Tajikistan
2022-03-16,3006817,3453663,2488387,TJK,Tajikistan
2022-03-17,3006817,3453663,2488387,TJK,Tajikistan
2022-03-18,3006817,3453663,2488387,TJK,Tajikistan
2022-03-19,3006817,3453663,2488387,TJK,Tajikistan
2022-03-20,3006817,3453663,2488387,TJK,Tajikistan
2022-03-21,3007821,3455723,2488387,TJK,Tajikistan
2022-03-22,3007821,3455723,2488387,TJK,Tajikistan
2022-03-23,3007821,3455723,2488387,TJK,Tajikistan
2022-03-24,3006817,3455723,2488387,TJK,Tajikistan
2022-03-25,3006817,3455723,2488387,TJK,Tajikistan
2022-03-26,3006817,3455723,2488387,TJK,Tajikistan
2022-03-27,3006817,3455723,2488387,TJK,Tajikistan
2022-03-28,3006817,3455723,2488387,TJK,Tajikistan
2022-03-29,3006817,3455723,2488387,TJK,Tajikistan
2022-03-30,3006817,3455723,2488387,TJK,Tajikistan
2022-03-31,3006817,3455723,2488387,TJK,Tajikistan
2022-04-01,3010988,3461722,2489820,TJK,Tajikistan
2022-04-02,3010988,3461722,2489820,TJK,Tajikistan
2022-04-03,2948047,3414094,2456471,TJK,Tajikistan
2022-04-04,2955118,3416554,2472904,TJK,Tajikistan
2022-04-05,2954870,3393821,2467713,TJK,Tajikistan
2022-04-06,2957837,3393821,2467713,TJK,Tajikistan
2022-04-07,2922328,3359322,2445559,TJK,Tajikistan
2022-04-08,2911776,3352368,2436954,TJK,Tajikistan
2022-04-09,2906296,3351138,2425017,TJK,Tajikistan
2022-04-10,2904308,3345621,2425017,TJK,Tajikistan
2022-04-11,2906109,3342464,2415799,TJK,Tajikistan
2022-04-12,2906109,3342464,2415799,TJK,Tajikistan
2022-04-13,2903191,3338098,2411677,TJK,Tajikistan
2022-04-14,2902275,3338098,2411547,TJK,Tajikistan
2022-04-15,2902275,3338098,2411547,TJK,Tajikistan
2022-04-16,2902275,3338098,2411547,TJK,Tajikistan
2022-04-17,2902275,3332564,2411547,TJK,Tajikistan
2022-04-18,2902275,3332564,2411547,TJK,Tajikistan
2022-04-19,2898623,3332564,2411547,TJK,Tajikistan
2022-04-20,2899982,3332564,2411547,TJK,Tajikistan
2022-04-21,2899982,3342330,2411677,TJK,Tajikistan
2022-04-22,2899982,3342330,2411677,TJK,Tajikistan
2022-04-23,2899982,3342330,2411677,TJK,Tajikistan
2022-04-24,2896083,3342330,2411677,TJK,Tajikistan
2022-04-25,2858214,3293345,2370982,TJK,Tajikistan
