date,value,value_high,value_low,iso_code,country_name
2022-02-28,14429403,18245413,11450902,TUR,Turkey
2022-03-01,14419592,18233004,11438183,TUR,Turkey
2022-03-02,14419592,18233004,11438183,TUR,Turkey
2022-03-03,14419592,18233004,11438183,TUR,Turkey
2022-03-04,14419592,18233004,11438183,TUR,Turkey
2022-03-05,14411557,18210036,11429944,TUR,Turkey
2022-03-06,14407268,18210036,11428749,TUR,Turkey
2022-03-07,14397579,18207375,11417469,TUR,Turkey
2022-03-08,14397579,18207375,11417469,TUR,Turkey
2022-03-09,14396590,18207365,11417348,TUR,Turkey
2022-03-10,14358808,18095975,11401782,TUR,Turkey
2022-03-11,14335882,18042606,11368431,TUR,Turkey
2022-03-12,14335882,18042035,11368431,TUR,Turkey
2022-03-13,14335882,18042035,11368431,TUR,Turkey
2022-03-14,14335882,18042035,11368431,TUR,Turkey
2022-03-15,14335882,18042035,11368431,TUR,Turkey
2022-03-16,14335482,18054743,11370465,TUR,Turkey
2022-03-17,14335012,18053604,11370396,TUR,Turkey
2022-03-18,14335485,18055192,11371075,TUR,Turkey
2022-03-19,14335077,18053927,11387468,TUR,Turkey
2022-03-20,14335077,18053927,11387468,TUR,Turkey
2022-03-21,14313776,18046352,11376952,TUR,Turkey
2022-03-22,14313776,18046352,11376952,TUR,Turkey
2022-03-23,14316192,18066430,11382554,TUR,Turkey
2022-03-24,14322425,18041621,11379074,TUR,Turkey
2022-03-25,14321630,18042464,11377315,TUR,Turkey
2022-03-26,14321630,18042464,11377315,TUR,Turkey
2022-03-27,14321630,18042464,11377315,TUR,Turkey
2022-03-28,14328591,18058646,11383776,TUR,Turkey
2022-03-29,14328591,18058646,11383776,TUR,Turkey
2022-03-30,14328591,18058646,11383776,TUR,Turkey
2022-03-31,14328591,18058646,11383776,TUR,Turkey
2022-04-01,14302935,18052029,11365399,TUR,Turkey
2022-04-02,14299374,18040456,11362812,TUR,Turkey
2022-04-03,14299374,18040456,11362812,TUR,Turkey
2022-04-04,14299374,18040456,11362812,TUR,Turkey
2022-04-05,14296475,18046394,11353629,TUR,Turkey
2022-04-06,14296980,18046394,11353629,TUR,Turkey
2022-04-07,14299110,18049730,11353629,TUR,Turkey
2022-04-08,14299110,18049730,11353629,TUR,Turkey
2022-04-09,14299110,18049730,11353629,TUR,Turkey
2022-04-10,14299110,18049730,11353629,TUR,Turkey
2022-04-11,14279926,18027486,11342905,TUR,Turkey
2022-04-12,14279926,18027486,11342905,TUR,Turkey
2022-04-13,14279321,18027486,11342905,TUR,Turkey
2022-04-14,14284662,18026470,11349571,TUR,Turkey
2022-04-15,14284662,18026470,11349571,TUR,Turkey
2022-04-16,14294221,18026470,11382108,TUR,Turkey
2022-04-17,14295931,18026470,11382108,TUR,Turkey
2022-04-18,14326690,18033991,11382506,TUR,Turkey
2022-04-19,14328122,18033991,11382506,TUR,Turkey
2022-04-20,14328122,18011354,11382506,TUR,Turkey
2022-04-21,14323530,17980357,11375337,TUR,Turkey
2022-04-22,14326881,17980357,11375337,TUR,Turkey
2022-04-23,14326881,17980357,11383034,TUR,Turkey
2022-04-24,14375799,17980357,11383034,TUR,Turkey
2022-04-25,14619962,18227354,11630414,TUR,Turkey
2022-04-26,14726885,18298780,11638189,TUR,Turkey
2022-04-27,14750703,18289618,11637505,TUR,Turkey
2022-04-28,14750703,18289618,11637505,TUR,Turkey
2022-04-29,14778681,18351735,11635726,TUR,Turkey
2022-04-30,14778681,18351735,11635726,TUR,Turkey
2022-05-01,14766078,18347808,11619413,TUR,Turkey
2022-05-02,14778135,18347908,11620329,TUR,Turkey
2022-05-03,14778985,18347701,11620291,TUR,Turkey
2022-05-04,14755375,18346048,11565104,TUR,Turkey
2022-05-05,14766675,18346048,11590867,TUR,Turkey
2022-05-06,14764051,18370468,11572956,TUR,Turkey
2022-05-07,14764436,18368576,11571225,TUR,Turkey
2022-05-08,14804025,18368576,11566464,TUR,Turkey
2022-05-09,14879488,18563798,11590365,TUR,Turkey
2022-05-10,14853135,18546165,11567357,TUR,Turkey
2022-05-11,14836840,18558143,11565354,TUR,Turkey
2022-05-12,14859327,18557946,11566135,TUR,Turkey
2022-05-13,14838981,18563808,11567316,TUR,Turkey
2022-05-14,14839625,18567807,11567684,TUR,Turkey
2022-05-15,14839625,18567807,11567684,TUR,Turkey
2022-05-16,14840104,18580098,11600958,TUR,Turkey
2022-05-17,14869561,18600829,11609704,TUR,Turkey
2022-05-18,14869561,18600829,11609704,TUR,Turkey
2022-05-19,14869561,18588538,11576139,TUR,Turkey
2022-05-20,14869561,18588538,11609704,TUR,Turkey
2022-05-21,14868388,18601954,11615864,TUR,Turkey
2022-05-22,14875840,18620075,11617886,TUR,Turkey
2022-05-23,14875840,18620075,11617886,TUR,Turkey
2022-05-24,14875500,18629511,11620675,TUR,Turkey
2022-05-25,14875500,18617220,11620675,TUR,Turkey
2022-05-26,14878796,18620676,11579866,TUR,Turkey
2022-05-27,14878130,18619502,11579596,TUR,Turkey
2022-05-28,14878130,18619502,11579596,TUR,Turkey
2022-05-29,14878130,18619502,11579596,TUR,Turkey
2022-05-30,14878462,18619502,11579596,TUR,Turkey
2022-05-31,14893177,18620057,11583911,TUR,Turkey
2022-06-01,14853674,18696833,11570879,TUR,Turkey
2022-06-02,14853674,18696833,11570879,TUR,Turkey
