date,value,value_high,value_low,iso_code,country_name
2022-02-28,4690099,4690099,4690099,TZA,Tanzania
2022-03-01,4661537,4661537,4661537,TZA,Tanzania
2022-03-02,4630385,4630385,4630385,TZA,Tanzania
2022-03-03,4705246,4705246,4705246,TZA,Tanzania
2022-03-04,4727779,4727779,4727779,TZA,Tanzania
2022-03-05,4691948,4691948,4691948,TZA,Tanzania
2022-03-06,4776701,4776701,4776701,TZA,Tanzania
2022-03-07,4845215,4845215,4845215,TZA,Tanzania
2022-03-08,4816916,4816916,4816916,TZA,Tanzania
2022-03-09,4880307,4880307,4880307,TZA,Tanzania
2022-03-10,4886241,4886241,4886241,TZA,Tanzania
2022-03-11,4939138,4939138,4939138,TZA,Tanzania
2022-03-12,4929078,4929078,4929078,TZA,Tanzania
2022-03-13,5007176,5007176,5007176,TZA,Tanzania
2022-03-14,4960587,4960587,4960587,TZA,Tanzania
2022-03-15,5010062,5010062,5010062,TZA,Tanzania
2022-03-16,5045266,5045266,5045266,TZA,Tanzania
2022-03-17,5032849,5032849,5032849,TZA,Tanzania
2022-03-18,5026624,5026624,5026624,TZA,Tanzania
2022-03-19,4984771,4984771,4984771,TZA,Tanzania
2022-03-20,5040688,5040688,5040688,TZA,Tanzania
2022-03-21,5109222,5109222,5109222,TZA,Tanzania
2022-03-22,5020174,5020174,5020174,TZA,Tanzania
2022-03-23,5027820,5027820,5027820,TZA,Tanzania
2022-03-24,5075477,5075477,5075477,TZA,Tanzania
2022-03-25,5060289,5060289,5060289,TZA,Tanzania
2022-03-26,5078273,5078273,5078273,TZA,Tanzania
2022-03-27,5086566,5086566,5086566,TZA,Tanzania
2022-03-28,5029005,5029005,5029005,TZA,Tanzania
2022-03-29,5108864,5108864,5108864,TZA,Tanzania
2022-03-30,5114053,5114053,5114053,TZA,Tanzania
2022-03-31,5179528,5179528,5179528,TZA,Tanzania
2022-04-01,5069468,5069468,5069468,TZA,Tanzania
2022-04-02,5167385,5167385,5167385,TZA,Tanzania
2022-04-03,5133852,5133852,5133852,TZA,Tanzania
2022-04-04,5304439,5304439,5304439,TZA,Tanzania
2022-04-05,5201533,5201533,5201533,TZA,Tanzania
2022-04-06,5219451,5219451,5219451,TZA,Tanzania
2022-04-07,5259243,5259243,5259243,TZA,Tanzania
2022-04-08,5330009,5330009,5330009,TZA,Tanzania
2022-04-09,5335049,5335049,5335049,TZA,Tanzania
2022-04-10,5434405,5434405,5434405,TZA,Tanzania
2022-04-11,5475592,5475592,5475592,TZA,Tanzania
2022-04-12,5569652,5569652,5569652,TZA,Tanzania
2022-04-13,5472659,5472659,5472659,TZA,Tanzania
2022-04-14,5552019,5552019,5552019,TZA,Tanzania
2022-04-15,5619068,5619068,5619068,TZA,Tanzania
2022-04-16,5539199,5539199,5539199,TZA,Tanzania
2022-04-17,5507007,5507007,5507007,TZA,Tanzania
2022-04-18,5478611,5478611,5478611,TZA,Tanzania
2022-04-19,5513260,5513260,5513260,TZA,Tanzania
2022-04-20,5494205,5494205,5494205,TZA,Tanzania
2022-04-21,5493039,5493039,5493039,TZA,Tanzania
2022-04-22,5488981,5488981,5488981,TZA,Tanzania
2022-04-23,5499184,5499184,5499184,TZA,Tanzania
2022-04-24,5467246,5467246,5467246,TZA,Tanzania
2022-04-25,5477065,5477065,5477065,TZA,Tanzania
2022-04-26,5407208,5407208,5407208,TZA,Tanzania
2022-04-27,5595981,5595981,5595981,TZA,Tanzania
2022-04-28,5504737,5504737,5504737,TZA,Tanzania
2022-04-29,5396906,5396906,5396906,TZA,Tanzania
2022-04-30,5299916,5299916,5299916,TZA,Tanzania
2022-05-01,5374606,5374606,5374606,TZA,Tanzania
2022-05-02,5368904,5368904,5368904,TZA,Tanzania
2022-05-03,5279653,5279653,5279653,TZA,Tanzania
2022-05-04,5263606,5263606,5263606,TZA,Tanzania
2022-05-05,5296418,5296418,5296418,TZA,Tanzania
2022-05-06,5205358,5205358,5205358,TZA,Tanzania
2022-05-07,5238216,5238216,5238216,TZA,Tanzania
2022-05-08,5210919,5210919,5210919,TZA,Tanzania
2022-05-09,5085283,5085283,5085283,TZA,Tanzania
2022-05-10,5016006,5016006,5016006,TZA,Tanzania
2022-05-11,5003275,5003275,5003275,TZA,Tanzania
2022-05-12,4961483,4961483,4961483,TZA,Tanzania
2022-05-13,4950589,4950589,4950589,TZA,Tanzania
2022-05-14,5030185,5030185,5030185,TZA,Tanzania
2022-05-15,5031759,5031759,5031759,TZA,Tanzania
2022-05-16,5011547,5011547,5011547,TZA,Tanzania
2022-05-17,4964861,4964861,4964861,TZA,Tanzania
2022-05-18,5050917,5050917,5050917,TZA,Tanzania
2022-05-19,5084897,5084897,5084897,TZA,Tanzania
2022-05-20,5111481,5111481,5111481,TZA,Tanzania
2022-05-21,5148030,5148030,5148030,TZA,Tanzania
2022-05-22,5150305,5150305,5150305,TZA,Tanzania
2022-05-23,5181914,5181914,5181914,TZA,Tanzania
2022-05-24,5213630,5213630,5213630,TZA,Tanzania
2022-05-25,5238931,5238931,5238931,TZA,Tanzania
2022-05-26,5249644,5249644,5249644,TZA,Tanzania
2022-05-27,5261122,5261122,5261122,TZA,Tanzania
2022-05-28,5233668,5233668,5233668,TZA,Tanzania
2022-05-29,5212373,5212373,5212373,TZA,Tanzania
2022-05-30,5280884,5280884,5280884,TZA,Tanzania
2022-05-31,5317011,5317011,5317011,TZA,Tanzania
2022-06-01,5313306,5313306,5313306,TZA,Tanzania
2022-06-02,5320651,5320651,5320651,TZA,Tanzania
